Date,AwayTeam,HomeTeam,A_SP_Hand,H_SP_Hand
19-06-2018,Arizona Diamondbacks,Los Angeles Angels,R,R
21-06-2018,Toronto Blue Jays,Los Angeles Angels,R,L
22-06-2018,Toronto Blue Jays,Los Angeles Angels,R,L
23-06-2018,Toronto Blue Jays,Los Angeles Angels,R,R
24-06-2018,Toronto Blue Jays,Los Angeles Angels,R,R
06-07-2018,Los Angeles Dodgers,Los Angeles Angels,R,R
07-07-2018,Los Angeles Dodgers,Los Angeles Angels,R,R
08-07-2018,Los Angeles Dodgers,Los Angeles Angels,L,L
10-07-2018,Seattle Mariners,Los Angeles Angels,R,R
11-07-2018,Seattle Mariners,Los Angeles Angels,L,R
12-07-2018,Seattle Mariners,Los Angeles Angels,L,L
20-07-2018,Houston Astros,Los Angeles Angels,L,L
21-07-2018,Houston Astros,Los Angeles Angels,R,R
22-07-2018,Houston Astros,Los Angeles Angels,R,L
23-07-2018,Chicago White Sox,Los Angeles Angels,R,R
24-07-2018,Chicago White Sox,Los Angeles Angels,L,R
25-07-2018,Chicago White Sox,Los Angeles Angels,R,L
26-07-2018,Chicago White Sox,Los Angeles Angels,R,R
27-07-2018,Seattle Mariners,Los Angeles Angels,L,L
28-07-2018,Seattle Mariners,Los Angeles Angels,R,R
29-07-2018,Seattle Mariners,Los Angeles Angels,L,R
06-08-2018,Detroit Tigers,Los Angeles Angels,L,R
07-08-2018,Detroit Tigers,Los Angeles Angels,R,L
08-08-2018,Detroit Tigers,Los Angeles Angels,L,R
10-08-2018,Oakland Athletics,Los Angeles Angels,L,R
11-08-2018,Oakland Athletics,Los Angeles Angels,R,L
12-08-2018,Oakland Athletics,Los Angeles Angels,R,R
24-08-2018,Houston Astros,Los Angeles Angels,L,L
25-08-2018,Houston Astros,Los Angeles Angels,R,R
26-08-2018,Houston Astros,Los Angeles Angels,L,R
27-08-2018,Colorado Rockies,Los Angeles Angels,R,R
28-08-2018,Colorado Rockies,Los Angeles Angels,L,R
10-09-2018,Texas Rangers,Los Angeles Angels,L,R
11-09-2018,Texas Rangers,Los Angeles Angels,R,R
12-09-2018,Texas Rangers,Los Angeles Angels,R,R
13-09-2018,Seattle Mariners,Los Angeles Angels,R,R
14-09-2018,Seattle Mariners,Los Angeles Angels,L,R
15-09-2018,Seattle Mariners,Los Angeles Angels,R,L
16-09-2018,Seattle Mariners,Los Angeles Angels,L,R
24-09-2018,Texas Rangers,Los Angeles Angels,R,R
25-09-2018,Texas Rangers,Los Angeles Angels,R,R
26-09-2018,Texas Rangers,Los Angeles Angels,L,L
28-09-2018,Oakland Athletics,Los Angeles Angels,R,R
29-09-2018,Oakland Athletics,Los Angeles Angels,R,L
30-09-2018,Oakland Athletics,Los Angeles Angels,L,R
29-03-2018,Colorado Rockies,Arizona Diamondbacks,R,L
30-03-2018,Colorado Rockies,Arizona Diamondbacks,L,L
31-03-2018,Colorado Rockies,Arizona Diamondbacks,R,R
02-04-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,R
03-04-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,R
04-04-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,L
17-04-2018,San Francisco Giants,Arizona Diamondbacks,R,L
18-04-2018,San Francisco Giants,Arizona Diamondbacks,R,L
19-04-2018,San Francisco Giants,Arizona Diamondbacks,L,R
20-04-2018,San Diego Padres,Arizona Diamondbacks,R,R
21-04-2018,San Diego Padres,Arizona Diamondbacks,L,R
22-04-2018,San Diego Padres,Arizona Diamondbacks,L,L
30-04-2018,Los Angeles Dodgers,Arizona Diamondbacks,R,R
01-05-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,R
02-05-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,R
03-05-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,L
04-05-2018,Houston Astros,Arizona Diamondbacks,R,R
05-05-2018,Houston Astros,Arizona Diamondbacks,R,R
06-05-2018,Houston Astros,Arizona Diamondbacks,R,R
10-05-2018,Washington Nationals,Arizona Diamondbacks,R,R
11-05-2018,Washington Nationals,Arizona Diamondbacks,R,R
12-05-2018,Washington Nationals,Arizona Diamondbacks,R,R
13-05-2018,Washington Nationals,Arizona Diamondbacks,R,R
14-05-2018,Milwaukee Brewers,Arizona Diamondbacks,R,L
15-05-2018,Milwaukee Brewers,Arizona Diamondbacks,R,R
16-05-2018,Milwaukee Brewers,Arizona Diamondbacks,R,R
28-05-2018,Cincinnati Reds,Arizona Diamondbacks,R,R
29-05-2018,Cincinnati Reds,Arizona Diamondbacks,R,R
30-05-2018,Cincinnati Reds,Arizona Diamondbacks,R,L
01-06-2018,Miami Marlins,Arizona Diamondbacks,R,R
02-06-2018,Miami Marlins,Arizona Diamondbacks,L,R
03-06-2018,Miami Marlins,Arizona Diamondbacks,R,R
11-06-2018,Pittsburgh Pirates,Arizona Diamondbacks,R,L
12-06-2018,Pittsburgh Pirates,Arizona Diamondbacks,R,R
13-06-2018,Pittsburgh Pirates,Arizona Diamondbacks,R,R
14-06-2018,New York Mets,Arizona Diamondbacks,L,R
15-06-2018,New York Mets,Arizona Diamondbacks,R,R
16-06-2018,New York Mets,Arizona Diamondbacks,L,L
17-06-2018,New York Mets,Arizona Diamondbacks,R,R
29-06-2018,San Francisco Giants,Arizona Diamondbacks,L,L
30-06-2018,San Francisco Giants,Arizona Diamondbacks,R,R
01-07-2018,San Francisco Giants,Arizona Diamondbacks,L,R
02-07-2018,St. Louis Cardinals,Arizona Diamondbacks,R,L
03-07-2018,St. Louis Cardinals,Arizona Diamondbacks,R,R
04-07-2018,St. Louis Cardinals,Arizona Diamondbacks,R,L
05-07-2018,San Diego Padres,Arizona Diamondbacks,L,R
06-07-2018,San Diego Padres,Arizona Diamondbacks,L,R
07-07-2018,San Diego Padres,Arizona Diamondbacks,R,L
08-07-2018,San Diego Padres,Arizona Diamondbacks,L,R
20-07-2018,Colorado Rockies,Arizona Diamondbacks,R,L
21-07-2018,Colorado Rockies,Arizona Diamondbacks,L,R
22-07-2018,Colorado Rockies,Arizona Diamondbacks,R,R
30-07-2018,Texas Rangers,Arizona Diamondbacks,L,L
31-07-2018,Texas Rangers,Arizona Diamondbacks,R,R
02-08-2018,San Francisco Giants,Arizona Diamondbacks,L,R
03-08-2018,San Francisco Giants,Arizona Diamondbacks,R,L
04-08-2018,San Francisco Giants,Arizona Diamondbacks,L,R
05-08-2018,San Francisco Giants,Arizona Diamondbacks,L,L
06-08-2018,Philadelphia Phillies,Arizona Diamondbacks,R,R
07-08-2018,Philadelphia Phillies,Arizona Diamondbacks,R,R
08-08-2018,Philadelphia Phillies,Arizona Diamondbacks,R,L
21-08-2018,Los Angeles Angels,Arizona Diamondbacks,R,L
22-08-2018,Los Angeles Angels,Arizona Diamondbacks,R,R
24-08-2018,Seattle Mariners,Arizona Diamondbacks,R,R
25-08-2018,Seattle Mariners,Arizona Diamondbacks,L,L
26-08-2018,Seattle Mariners,Arizona Diamondbacks,R,R
03-09-2018,San Diego Padres,Arizona Diamondbacks,R,R
04-09-2018,San Diego Padres,Arizona Diamondbacks,L,L
06-09-2018,Atlanta Braves,Arizona Diamondbacks,R,R
07-09-2018,Atlanta Braves,Arizona Diamondbacks,R,L
08-09-2018,Atlanta Braves,Arizona Diamondbacks,R,R
09-09-2018,Atlanta Braves,Arizona Diamondbacks,R,L
17-09-2018,Chicago Cubs,Arizona Diamondbacks,R,L
18-09-2018,Chicago Cubs,Arizona Diamondbacks,L,R
19-09-2018,Chicago Cubs,Arizona Diamondbacks,L,L
21-09-2018,Colorado Rockies,Arizona Diamondbacks,R,R
22-09-2018,Colorado Rockies,Arizona Diamondbacks,R,L
23-09-2018,Colorado Rockies,Arizona Diamondbacks,L,R
24-09-2018,Los Angeles Dodgers,Arizona Diamondbacks,L,L
25-09-2018,Los Angeles Dodgers,Arizona Diamondbacks,R,R
26-09-2018,Los Angeles Dodgers,Arizona Diamondbacks,R,R
29-03-2018,Philadelphia Phillies,Atlanta Braves,R,R
30-03-2018,Philadelphia Phillies,Atlanta Braves,R,R
31-03-2018,Philadelphia Phillies,Atlanta Braves,R,R
02-04-2018,Washington Nationals,Atlanta Braves,R,L
03-04-2018,Washington Nationals,Atlanta Braves,R,R
04-04-2018,Washington Nationals,Atlanta Braves,R,R
16-04-2018,Philadelphia Phillies,Atlanta Braves,R,R
17-04-2018,Philadelphia Phillies,Atlanta Braves,R,R
18-04-2018,Philadelphia Phillies,Atlanta Braves,R,R
19-04-2018,New York Mets,Atlanta Braves,R,R
20-04-2018,New York Mets,Atlanta Braves,R,L
21-04-2018,New York Mets,Atlanta Braves,R,R
04-05-2018,San Francisco Giants,Atlanta Braves,R,R
05-05-2018,San Francisco Giants,Atlanta Braves,L,R
06-05-2018,San Francisco Giants,Atlanta Braves,L,R
15-05-2018,Chicago Cubs,Atlanta Braves,R,R
16-05-2018,Chicago Cubs,Atlanta Braves,R,R
18-05-2018,Miami Marlins,Atlanta Braves,R,R
19-05-2018,Miami Marlins,Atlanta Braves,R,L
20-05-2018,Miami Marlins,Atlanta Braves,L,R
29-05-2018,New York Mets,Atlanta Braves,L,R
30-05-2018,New York Mets,Atlanta Braves,L,R
31-05-2018,Washington Nationals,Atlanta Braves,R,L
01-06-2018,Washington Nationals,Atlanta Braves,R,R
02-06-2018,Washington Nationals,Atlanta Braves,L,R
03-06-2018,Washington Nationals,Atlanta Braves,R,R
12-06-2018,New York Mets,Atlanta Braves,R,R
13-06-2018,New York Mets,Atlanta Braves,R,R
14-06-2018,San Diego Padres,Atlanta Braves,R,R
15-06-2018,San Diego Padres,Atlanta Braves,L,R
16-06-2018,San Diego Padres,Atlanta Braves,R,L
17-06-2018,San Diego Padres,Atlanta Braves,L,R
22-06-2018,Baltimore Orioles,Atlanta Braves,R,L
23-06-2018,Baltimore Orioles,Atlanta Braves,R,R
24-06-2018,Baltimore Orioles,Atlanta Braves,R,R
25-06-2018,Cincinnati Reds,Atlanta Braves,R,R
26-06-2018,Cincinnati Reds,Atlanta Braves,R,R
27-06-2018,Cincinnati Reds,Atlanta Braves,R,L
10-07-2018,Toronto Blue Jays,Atlanta Braves,R,R
11-07-2018,Toronto Blue Jays,Atlanta Braves,R,R
13-07-2018,Arizona Diamondbacks,Atlanta Braves,R,R
14-07-2018,Arizona Diamondbacks,Atlanta Braves,R,L
15-07-2018,Arizona Diamondbacks,Atlanta Braves,L,R
26-07-2018,Los Angeles Dodgers,Atlanta Braves,L,R
27-07-2018,Los Angeles Dodgers,Atlanta Braves,L,R
28-07-2018,Los Angeles Dodgers,Atlanta Braves,L,L
29-07-2018,Los Angeles Dodgers,Atlanta Braves,R,L
30-07-2018,Miami Marlins,Atlanta Braves,L,R
31-07-2018,Miami Marlins,Atlanta Braves,R,L
10-08-2018,Milwaukee Brewers,Atlanta Braves,R,R
11-08-2018,Milwaukee Brewers,Atlanta Braves,L,R
12-08-2018,Milwaukee Brewers,Atlanta Braves,R,L
14-08-2018,Miami Marlins,Atlanta Braves,R,R
15-08-2018,Miami Marlins,Atlanta Braves,R,R
16-08-2018,Colorado Rockies,Atlanta Braves,R,R
17-08-2018,Colorado Rockies,Atlanta Braves,L,L
18-08-2018,Colorado Rockies,Atlanta Braves,R,R
19-08-2018,Colorado Rockies,Atlanta Braves,R,R
28-08-2018,Tampa Bay Rays,Atlanta Braves,R,R
29-08-2018,Tampa Bay Rays,Atlanta Braves,R,L
30-08-2018,Chicago Cubs,Atlanta Braves,L,R
31-08-2018,Pittsburgh Pirates,Atlanta Braves,R,R
01-09-2018,Pittsburgh Pirates,Atlanta Braves,R,R
02-09-2018,Pittsburgh Pirates,Atlanta Braves,R,R
03-09-2018,Boston Red Sox,Atlanta Braves,R,R
04-09-2018,Boston Red Sox,Atlanta Braves,R,L
05-09-2018,Boston Red Sox,Atlanta Braves,R,R
14-09-2018,Washington Nationals,Atlanta Braves,R,R
15-09-2018,Washington Nationals,Atlanta Braves,R,R
16-09-2018,Washington Nationals,Atlanta Braves,R,L
17-09-2018,St. Louis Cardinals,Atlanta Braves,R,R
18-09-2018,St. Louis Cardinals,Atlanta Braves,L,R
19-09-2018,St. Louis Cardinals,Atlanta Braves,R,R
20-09-2018,Philadelphia Phillies,Atlanta Braves,R,R
21-09-2018,Philadelphia Phillies,Atlanta Braves,R,R
22-09-2018,Philadelphia Phillies,Atlanta Braves,R,R
23-09-2018,Philadelphia Phillies,Atlanta Braves,R,R
07-10-2018,Los Angeles Dodgers,Atlanta Braves,R,L
08-10-2018,Los Angeles Dodgers,Atlanta Braves,L,R
29-03-2018,Minnesota Twins,Baltimore Orioles,R,R
31-03-2018,Minnesota Twins,Baltimore Orioles,R,R
01-04-2018,Minnesota Twins,Baltimore Orioles,R,R
09-04-2018,Toronto Blue Jays,Baltimore Orioles,L,R
10-04-2018,Toronto Blue Jays,Baltimore Orioles,R,R
11-04-2018,Toronto Blue Jays,Baltimore Orioles,R,R
20-04-2018,Cleveland Indians,Baltimore Orioles,R,R
21-04-2018,Cleveland Indians,Baltimore Orioles,R,R
22-04-2018,Cleveland Indians,Baltimore Orioles,R,R
23-04-2018,Cleveland Indians,Baltimore Orioles,R,R
25-04-2018,Tampa Bay Rays,Baltimore Orioles,R,R
26-04-2018,Tampa Bay Rays,Baltimore Orioles,R,R
27-04-2018,Detroit Tigers,Baltimore Orioles,R,R
28-04-2018,Detroit Tigers,Baltimore Orioles,L,R
29-04-2018,Detroit Tigers,Baltimore Orioles,L,R
08-05-2018,Kansas City Royals,Baltimore Orioles,L,R
09-05-2018,Kansas City Royals,Baltimore Orioles,L,R
10-05-2018,Kansas City Royals,Baltimore Orioles,R,R
11-05-2018,Tampa Bay Rays,Baltimore Orioles,R,R
13-05-2018,Tampa Bay Rays,Baltimore Orioles,L,R
16-05-2018,Philadelphia Phillies,Baltimore Orioles,R,R
28-05-2018,Washington Nationals,Baltimore Orioles,L,R
29-05-2018,Washington Nationals,Baltimore Orioles,R,R
30-05-2018,Washington Nationals,Baltimore Orioles,R,R
01-06-2018,New York Yankees,Baltimore Orioles,R,R
02-06-2018,New York Yankees,Baltimore Orioles,R,R
11-06-2018,Boston Red Sox,Baltimore Orioles,R,R
12-06-2018,Boston Red Sox,Baltimore Orioles,L,R
13-06-2018,Boston Red Sox,Baltimore Orioles,L,R
15-06-2018,Miami Marlins,Baltimore Orioles,R,R
16-06-2018,Miami Marlins,Baltimore Orioles,L,R
17-06-2018,Miami Marlins,Baltimore Orioles,R,R
25-06-2018,Seattle Mariners,Baltimore Orioles,R,R
26-06-2018,Seattle Mariners,Baltimore Orioles,L,R
27-06-2018,Seattle Mariners,Baltimore Orioles,L,R
28-06-2018,Seattle Mariners,Baltimore Orioles,R,R
29-06-2018,Los Angeles Angels,Baltimore Orioles,R,R
30-06-2018,Los Angeles Angels,Baltimore Orioles,L,R
01-07-2018,Los Angeles Angels,Baltimore Orioles,R,R
10-07-2018,New York Yankees,Baltimore Orioles,R,R
11-07-2018,New York Yankees,Baltimore Orioles,R,R
12-07-2018,Philadelphia Phillies,Baltimore Orioles,R,R
13-07-2018,Texas Rangers,Baltimore Orioles,L,R
14-07-2018,Texas Rangers,Baltimore Orioles,L,R
15-07-2018,Texas Rangers,Baltimore Orioles,L,R
23-07-2018,Boston Red Sox,Baltimore Orioles,R,R
24-07-2018,Boston Red Sox,Baltimore Orioles,L,R
26-07-2018,Tampa Bay Rays,Baltimore Orioles,R,R
27-07-2018,Tampa Bay Rays,Baltimore Orioles,R,R
28-07-2018,Tampa Bay Rays,Baltimore Orioles,R,R
29-07-2018,Tampa Bay Rays,Baltimore Orioles,R,R
10-08-2018,Boston Red Sox,Baltimore Orioles,R,R
12-08-2018,Boston Red Sox,Baltimore Orioles,L,R
14-08-2018,New York Mets,Baltimore Orioles,L,R
15-08-2018,New York Mets,Baltimore Orioles,R,R
24-08-2018,New York Yankees,Baltimore Orioles,nan,R
26-08-2018,New York Yankees,Baltimore Orioles,R,R
27-08-2018,Toronto Blue Jays,Baltimore Orioles,R,R
28-08-2018,Toronto Blue Jays,Baltimore Orioles,L,L
29-08-2018,Toronto Blue Jays,Baltimore Orioles,L,R
11-09-2018,Oakland Athletics,Baltimore Orioles,R,R
12-09-2018,Oakland Athletics,Baltimore Orioles,R,R
13-09-2018,Oakland Athletics,Baltimore Orioles,L,R
14-09-2018,Chicago White Sox,Baltimore Orioles,R,R
15-09-2018,Chicago White Sox,Baltimore Orioles,R,R
16-09-2018,Chicago White Sox,Baltimore Orioles,R,R
17-09-2018,Toronto Blue Jays,Baltimore Orioles,L,R
18-09-2018,Toronto Blue Jays,Baltimore Orioles,R,R
19-09-2018,Toronto Blue Jays,Baltimore Orioles,R,R
28-09-2018,Houston Astros,Baltimore Orioles,R,R
30-09-2018,Houston Astros,Baltimore Orioles,R,R
05-04-2018,Tampa Bay Rays,Boston Red Sox,R,L
07-04-2018,Tampa Bay Rays,Boston Red Sox,R,R
08-04-2018,Tampa Bay Rays,Boston Red Sox,R,L
10-04-2018,New York Yankees,Boston Red Sox,R,L
11-04-2018,New York Yankees,Boston Red Sox,R,L
12-04-2018,New York Yankees,Boston Red Sox,R,R
13-04-2018,Baltimore Orioles,Boston Red Sox,R,L
14-04-2018,Baltimore Orioles,Boston Red Sox,R,R
15-04-2018,Baltimore Orioles,Boston Red Sox,R,L
27-04-2018,Tampa Bay Rays,Boston Red Sox,L,L
28-04-2018,Tampa Bay Rays,Boston Red Sox,R,L
29-04-2018,Tampa Bay Rays,Boston Red Sox,R,R
30-04-2018,Kansas City Royals,Boston Red Sox,R,L
01-05-2018,Kansas City Royals,Boston Red Sox,R,L
02-05-2018,Kansas City Royals,Boston Red Sox,L,L
14-05-2018,Oakland Athletics,Boston Red Sox,L,R
15-05-2018,Oakland Athletics,Boston Red Sox,R,L
16-05-2018,Oakland Athletics,Boston Red Sox,R,L
17-05-2018,Baltimore Orioles,Boston Red Sox,R,L
18-05-2018,Baltimore Orioles,Boston Red Sox,R,L
19-05-2018,Baltimore Orioles,Boston Red Sox,R,R
20-05-2018,Baltimore Orioles,Boston Red Sox,R,L
25-05-2018,Atlanta Braves,Boston Red Sox,R,L
26-05-2018,Atlanta Braves,Boston Red Sox,L,L
27-05-2018,Atlanta Braves,Boston Red Sox,R,L
28-05-2018,Toronto Blue Jays,Boston Red Sox,R,L
29-05-2018,Toronto Blue Jays,Boston Red Sox,R,R
30-05-2018,Toronto Blue Jays,Boston Red Sox,R,L
05-06-2018,Detroit Tigers,Boston Red Sox,R,R
06-06-2018,Detroit Tigers,Boston Red Sox,L,L
07-06-2018,Detroit Tigers,Boston Red Sox,L,L
08-06-2018,Chicago White Sox,Boston Red Sox,R,L
09-06-2018,Chicago White Sox,Boston Red Sox,L,L
10-06-2018,Chicago White Sox,Boston Red Sox,R,R
22-06-2018,Seattle Mariners,Boston Red Sox,L,R
23-06-2018,Seattle Mariners,Boston Red Sox,R,L
24-06-2018,Seattle Mariners,Boston Red Sox,L,L
26-06-2018,Los Angeles Angels,Boston Red Sox,L,L
27-06-2018,Los Angeles Angels,Boston Red Sox,L,R
28-06-2018,Los Angeles Angels,Boston Red Sox,R,L
09-07-2018,Texas Rangers,Boston Red Sox,L,L
10-07-2018,Texas Rangers,Boston Red Sox,R,R
11-07-2018,Texas Rangers,Boston Red Sox,R,L
12-07-2018,Toronto Blue Jays,Boston Red Sox,L,L
13-07-2018,Toronto Blue Jays,Boston Red Sox,L,R
14-07-2018,Toronto Blue Jays,Boston Red Sox,R,L
15-07-2018,Toronto Blue Jays,Boston Red Sox,R,L
26-07-2018,Minnesota Twins,Boston Red Sox,R,L
27-07-2018,Minnesota Twins,Boston Red Sox,R,L
28-07-2018,Minnesota Twins,Boston Red Sox,R,R
29-07-2018,Minnesota Twins,Boston Red Sox,R,R
30-07-2018,Philadelphia Phillies,Boston Red Sox,R,L
31-07-2018,Philadelphia Phillies,Boston Red Sox,R,L
02-08-2018,New York Yankees,Boston Red Sox,nan,L
03-08-2018,New York Yankees,Boston Red Sox,R,R
04-08-2018,New York Yankees,Boston Red Sox,R,R
05-08-2018,New York Yankees,Boston Red Sox,R,L
17-08-2018,Tampa Bay Rays,Boston Red Sox,R,L
18-08-2018,Tampa Bay Rays,Boston Red Sox,R,L
19-08-2018,Tampa Bay Rays,Boston Red Sox,R,R
20-08-2018,Cleveland Indians,Boston Red Sox,R,R
21-08-2018,Cleveland Indians,Boston Red Sox,R,R
22-08-2018,Cleveland Indians,Boston Red Sox,R,L
23-08-2018,Cleveland Indians,Boston Red Sox,R,L
28-08-2018,Miami Marlins,Boston Red Sox,R,L
29-08-2018,Miami Marlins,Boston Red Sox,R,L
07-09-2018,Houston Astros,Boston Red Sox,R,L
08-09-2018,Houston Astros,Boston Red Sox,R,L
09-09-2018,Houston Astros,Boston Red Sox,L,R
11-09-2018,Toronto Blue Jays,Boston Red Sox,L,L
12-09-2018,Toronto Blue Jays,Boston Red Sox,R,L
13-09-2018,Toronto Blue Jays,Boston Red Sox,R,L
14-09-2018,New York Mets,Boston Red Sox,R,R
15-09-2018,New York Mets,Boston Red Sox,R,R
16-09-2018,New York Mets,Boston Red Sox,R,L
24-09-2018,Baltimore Orioles,Boston Red Sox,R,R
28-09-2018,New York Yankees,Boston Red Sox,L,L
29-09-2018,New York Yankees,Boston Red Sox,R,R
30-09-2018,New York Yankees,Boston Red Sox,R,R
05-10-2018,New York Yankees,Boston Red Sox,L,L
06-10-2018,New York Yankees,Boston Red Sox,R,L
13-10-2018,Houston Astros,Boston Red Sox,R,L
14-10-2018,Houston Astros,Boston Red Sox,R,L
23-10-2018,Los Angeles Dodgers,Boston Red Sox,L,L
24-10-2018,Los Angeles Dodgers,Boston Red Sox,L,L
05-04-2018,Detroit Tigers,Chicago White Sox,R,R
07-04-2018,Detroit Tigers,Chicago White Sox,R,R
08-04-2018,Detroit Tigers,Chicago White Sox,R,R
09-04-2018,Tampa Bay Rays,Chicago White Sox,R,R
10-04-2018,Tampa Bay Rays,Chicago White Sox,L,R
11-04-2018,Tampa Bay Rays,Chicago White Sox,R,R
20-04-2018,Houston Astros,Chicago White Sox,R,R
21-04-2018,Houston Astros,Chicago White Sox,L,R
22-04-2018,Houston Astros,Chicago White Sox,R,R
23-04-2018,Seattle Mariners,Chicago White Sox,R,R
24-04-2018,Seattle Mariners,Chicago White Sox,L,R
25-04-2018,Seattle Mariners,Chicago White Sox,R,R
03-05-2018,Minnesota Twins,Chicago White Sox,R,R
04-05-2018,Minnesota Twins,Chicago White Sox,R,R
05-05-2018,Minnesota Twins,Chicago White Sox,R,L
06-05-2018,Minnesota Twins,Chicago White Sox,R,R
08-05-2018,Pittsburgh Pirates,Chicago White Sox,R,R
09-05-2018,Pittsburgh Pirates,Chicago White Sox,R,R
17-05-2018,Texas Rangers,Chicago White Sox,R,R
18-05-2018,Texas Rangers,Chicago White Sox,L,R
19-05-2018,Texas Rangers,Chicago White Sox,R,R
20-05-2018,Texas Rangers,Chicago White Sox,L,R
21-05-2018,Baltimore Orioles,Chicago White Sox,R,L
22-05-2018,Baltimore Orioles,Chicago White Sox,R,R
23-05-2018,Baltimore Orioles,Chicago White Sox,R,R
24-05-2018,Baltimore Orioles,Chicago White Sox,R,R
01-06-2018,Milwaukee Brewers,Chicago White Sox,R,L
02-06-2018,Milwaukee Brewers,Chicago White Sox,R,R
03-06-2018,Milwaukee Brewers,Chicago White Sox,L,R
11-06-2018,Cleveland Indians,Chicago White Sox,R,R
12-06-2018,Cleveland Indians,Chicago White Sox,R,R
13-06-2018,Cleveland Indians,Chicago White Sox,R,R
14-06-2018,Cleveland Indians,Chicago White Sox,R,L
15-06-2018,Detroit Tigers,Chicago White Sox,R,R
16-06-2018,Detroit Tigers,Chicago White Sox,R,R
17-06-2018,Detroit Tigers,Chicago White Sox,L,R
23-06-2018,Oakland Athletics,Chicago White Sox,R,R
24-06-2018,Oakland Athletics,Chicago White Sox,R,L
26-06-2018,Minnesota Twins,Chicago White Sox,R,R
27-06-2018,Minnesota Twins,Chicago White Sox,R,R
28-06-2018,Minnesota Twins,Chicago White Sox,R,R
10-07-2018,St. Louis Cardinals,Chicago White Sox,R,R
11-07-2018,St. Louis Cardinals,Chicago White Sox,R,L
13-07-2018,Kansas City Royals,Chicago White Sox,R,R
14-07-2018,Kansas City Royals,Chicago White Sox,L,R
15-07-2018,Kansas City Royals,Chicago White Sox,R,R
27-07-2018,Toronto Blue Jays,Chicago White Sox,R,R
28-07-2018,Toronto Blue Jays,Chicago White Sox,R,R
29-07-2018,Toronto Blue Jays,Chicago White Sox,L,L
31-07-2018,Kansas City Royals,Chicago White Sox,L,R
01-08-2018,Kansas City Royals,Chicago White Sox,R,R
02-08-2018,Kansas City Royals,Chicago White Sox,R,R
06-08-2018,New York Yankees,Chicago White Sox,R,R
07-08-2018,New York Yankees,Chicago White Sox,nan,R
08-08-2018,New York Yankees,Chicago White Sox,R,R
10-08-2018,Cleveland Indians,Chicago White Sox,R,L
11-08-2018,Cleveland Indians,Chicago White Sox,R,R
12-08-2018,Cleveland Indians,Chicago White Sox,R,R
17-08-2018,Kansas City Royals,Chicago White Sox,R,R
18-08-2018,Kansas City Royals,Chicago White Sox,R,R
19-08-2018,Kansas City Royals,Chicago White Sox,R,R
21-08-2018,Minnesota Twins,Chicago White Sox,R,R
22-08-2018,Minnesota Twins,Chicago White Sox,R,L
30-08-2018,Boston Red Sox,Chicago White Sox,R,R
31-08-2018,Boston Red Sox,Chicago White Sox,R,R
01-09-2018,Boston Red Sox,Chicago White Sox,L,L
