Team,K/9_L,BB/9_L,K/BB_L,HR/9_L,K%_L,BB%_L,K-BB%_L,AVG_L,WHIP_L,BABIP_L,LOB%_L,ERA_L,FIP_L,E-F_L,xFIP_L,K/9_R,BB/9_R,K/BB_R,HR/9_R,K%_R,BB%_R,K-BB%_R,AVG_R,WHIP_R,BABIP_R,LOB%_R,ERA_R,FIP_R,E-F_R,xFIP_R
Houston Astros,11.15,2.95,3.78,1.43,0.306,0.081,0.225,0.205,1.08,0.258,0.787,3.43,3.89,-0.46,3.64,9.55,2.59,3.69,1.4,0.256,0.07,0.187,0.234,1.17,0.28,0.754,3.86,4.05,-0.19,3.93
Kansas City Royals,7.95,4.14,1.92,1.4,0.194,0.101,0.093,0.28,1.58,0.321,0.714,5.39,5.01,0.38,5.11,7.64,3.33,2.29,1.39,0.196,0.085,0.11,0.269,1.41,0.303,0.692,5.06,4.82,0.25,4.89
Los Angeles Angels,8.88,4.02,2.21,1.52,0.225,0.102,0.123,0.252,1.42,0.293,0.749,4.69,4.92,-0.22,4.9,8.68,3.32,2.61,1.76,0.222,0.085,0.137,0.256,1.36,0.289,0.682,5.39,5.12,0.27,4.74
Los Angeles Dodgers,9.27,2.79,3.32,1.2,0.249,0.075,0.174,0.226,1.16,0.271,0.714,3.77,3.93,-0.16,4.02,9.58,2.21,4.33,1.12,0.262,0.061,0.202,0.221,1.07,0.271,0.77,3.15,3.59,-0.44,3.77
Miami Marlins,7.95,4.23,1.88,1.48,0.2,0.107,0.094,0.257,1.46,0.29,0.708,5.14,5.15,-0.02,5.28,9.06,3.54,2.56,1.47,0.236,0.092,0.144,0.236,1.28,0.274,0.733,4.44,4.7,-0.26,4.9
Milwaukee Brewers,8.39,4.33,1.94,1.39,0.212,0.109,0.102,0.25,1.44,0.288,0.745,4.53,4.95,-0.42,5.08,9.81,2.95,3.32,1.38,0.26,0.078,0.181,0.243,1.25,0.295,0.72,4.32,4.12,0.19,3.97
Minnesota Twins,8.74,2.71,3.23,0.98,0.227,0.07,0.157,0.258,1.3,0.314,0.713,4.03,3.73,0.31,4.32,9.17,2.83,3.24,1.38,0.239,0.074,0.165,0.256,1.31,0.306,0.722,4.29,4.23,0.05,4.24
New York Mets,9.4,3.92,2.4,1.31,0.238,0.099,0.139,0.258,1.44,0.314,0.75,4.45,4.43,0.02,4.63,9.34,2.57,3.63,1.23,0.248,0.068,0.18,0.247,1.22,0.298,0.718,4.13,3.9,0.23,4.08
New York Yankees,9.92,3.06,3.24,1.46,0.258,0.08,0.178,0.252,1.31,0.308,0.756,4.21,4.25,-0.04,4.09,9.35,3.22,2.9,1.6,0.246,0.085,0.161,0.246,1.3,0.29,0.749,4.37,4.6,-0.23,4.39
Oakland Athletics,8.18,2.89,2.84,1.25,0.217,0.076,0.14,0.242,1.24,0.279,0.736,4.1,4.28,-0.18,4.63,7.8,2.97,2.63,1.22,0.206,0.078,0.128,0.242,1.25,0.277,0.764,3.86,4.39,-0.53,4.79
Philadelphia Phillies,8.23,3.94,2.09,1.76,0.209,0.1,0.109,0.265,1.46,0.296,0.753,4.75,5.34,-0.59,4.87,8.87,3.01,2.95,1.49,0.231,0.078,0.152,0.257,1.32,0.299,0.742,4.39,4.57,-0.19,4.33
Pittsburgh Pirates,8.75,4.14,2.12,1.67,0.212,0.1,0.112,0.279,1.58,0.322,0.676,5.82,5.26,0.56,5.07,9.2,3.32,2.77,1.4,0.235,0.085,0.15,0.26,1.37,0.309,0.699,4.76,4.45,0.3,4.48
San Diego Padres,8.72,3.08,2.83,1.31,0.222,0.078,0.144,0.259,1.36,0.305,0.694,4.83,4.37,0.46,4.54,9.64,2.8,3.44,1.38,0.251,0.073,0.178,0.246,1.26,0.295,0.703,4.5,4.12,0.38,4.12
San Francisco Giants,8.13,3.4,2.39,1.11,0.209,0.087,0.122,0.241,1.31,0.282,0.727,4,4.26,-0.26,4.63,8.53,3.05,2.8,1.56,0.225,0.08,0.144,0.254,1.3,0.29,0.725,4.61,4.73,-0.12,4.56
Seattle Mariners,8.17,3.55,2.3,1.73,0.205,0.089,0.116,0.259,1.42,0.288,0.683,5.23,5.2,0.03,4.79,7.53,2.95,2.55,1.57,0.194,0.076,0.118,0.264,1.36,0.292,0.685,4.88,4.9,-0.02,4.88
St. Louis Cardinals,8.77,4.45,1.97,1.23,0.223,0.113,0.11,0.242,1.41,0.287,0.772,4.06,4.66,-0.6,4.86,8.68,2.6,3.34,1.16,0.237,0.071,0.166,0.236,1.16,0.28,0.745,3.64,3.97,-0.34,3.99
Tampa Bay Rays,10.09,2.83,3.57,1.07,0.272,0.076,0.196,0.222,1.14,0.281,0.732,3.65,3.6,0.05,3.79,9.78,2.73,3.59,1.13,0.263,0.073,0.19,0.235,1.19,0.295,0.741,3.69,3.69,0,3.95
Texas Rangers,8.23,3.64,2.26,1.3,0.207,0.092,0.115,0.266,1.45,0.308,0.677,5.12,4.59,0.52,4.93,8.9,3.65,2.44,1.65,0.224,0.092,0.132,0.271,1.47,0.315,0.723,5.07,5,0.07,4.74
Toronto Blue Jays,8.19,4.01,2.04,1.5,0.208,0.102,0.106,0.257,1.44,0.292,0.746,4.55,5.01,-0.45,4.96,8.43,3.58,2.35,1.36,0.214,0.091,0.123,0.262,1.42,0.305,0.696,4.99,4.68,0.31,4.8
Washington Nationals,9.2,3.59,2.56,1.35,0.233,0.091,0.142,0.258,1.41,0.31,0.74,4.55,4.41,0.15,4.54,9.62,2.99,3.22,1.21,0.255,0.079,0.176,0.234,1.21,0.286,0.723,4.09,3.97,0.13,4.18
