Date,HomeOdds,OverUnder,AwayTeam,HomeTeam
11-04-2019,101,7.5,Colorado Rockies,San Francisco Giants
11-04-2019,140,8.5,Oakland Athletics,Baltimore Orioles
11-04-2019,125,7.5,Cleveland Indians,Detroit Tigers
11-04-2019,134,10,Seattle Mariners,Kansas City Royals
11-04-2019,-180,9,Toronto Blue Jays,Boston Red Sox
12-04-2019,-190,8,Pittsburgh Pirates,Washington Nationals
12-04-2019,148,8.5,Philadelphia Phillies,Miami Marlins
12-04-2019,-110,9.5,New York Mets,Atlanta Braves
12-04-2019,110,8,San Diego Padres,Arizona Diamondbacks
12-04-2019,-155,8.5,Milwaukee Brewers,Los Angeles Dodgers
12-04-2019,-140,7.5,Colorado Rockies,San Francisco Giants
12-04-2019,-205,9.5,Chicago White Sox,New York Yankees
12-04-2019,135,8.5,Tampa Bay Rays,Toronto Blue Jays
12-04-2019,-250,10,Baltimore Orioles,Boston Red Sox
12-04-2019,105,11,Oakland Athletics,Texas Rangers
12-04-2019,148,7.5,Cleveland Indians,Kansas City Royals
12-04-2019,130,9,Houston Astros,Seattle Mariners
12-04-2019,-166,10.5,Los Angeles Angels,Chicago Cubs
13-04-2019,-119,9,Pittsburgh Pirates,Washington Nationals
13-04-2019,-113,7,Colorado Rockies,San Francisco Giants
13-04-2019,155,7.5,Philadelphia Phillies,Miami Marlins
13-04-2019,101,11,St. Louis Cardinals,Cincinnati Reds
13-04-2019,-150,10,New York Mets,Atlanta Braves
13-04-2019,-110,9,San Diego Padres,Arizona Diamondbacks
13-04-2019,-147,9,Milwaukee Brewers,Los Angeles Dodgers
13-04-2019,-155,10,Chicago White Sox,New York Yankees
13-04-2019,-270,11,Baltimore Orioles,Boston Red Sox
13-04-2019,-200,8,Detroit Tigers,Minnesota Twins
13-04-2019,180,8,Tampa Bay Rays,Toronto Blue Jays
13-04-2019,-104,9,Cleveland Indians,Kansas City Royals
13-04-2019,173,8.5,Houston Astros,Seattle Mariners
13-04-2019,-205,9,Los Angeles Angels,Chicago Cubs
14-04-2019,140,8.5,Philadelphia Phillies,Miami Marlins
