ParkYear,Park,Park_RunsFactor,Park_HRFactor,Park_HFactor,Park_2BFactor,Park_3BFactor,Park_BBFactor
2016,Chicago Cubs,0.874,0.819,0.928,0.93,1.045,1.066
2016,Philadelphia Phillies,0.84,1.149,0.924,0.821,0.889,0.969
2016,Miami Marlins,0.834,0.793,0.868,0.963,0.667,0.967
2016,Los Angeles Dodgers,0.813,0.914,0.908,0.919,0.382,0.895
2016,Houston Astros,0.808,0.822,0.926,0.886,1.152,0.918
2016,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2015,Colorado Rockies,1.436,1.21,1.301,1.235,2,1.057
2015,Cleveland Indians,1.261,0.986,1.169,1.44,0.774,1.115
2015,Baltimore Orioles,1.228,1.415,1.121,0.978,0.775,0.936
2015,Boston Red Sox,1.191,0.971,1.103,1.281,1.031,0.92
2015,Texas Rangers,1.141,1.066,1.107,1.102,0.946,1.133
2015,Cincinnati Reds,1.115,1.137,1.075,1.043,0.444,1.101
2015,Milwaukee Brewers,1.103,1.432,1.01,1.07,1.161,1.006
2015,Arizona Diamondbacks,1.062,0.856,1.047,1.207,1.786,1.025
2015,Philadelphia Phillies,1.038,1.14,0.977,0.946,0.667,1.049
2015,New York Yankees,1.022,1.251,0.975,0.887,0.63,1
2015,Kansas City Royals,1.019,0.793,0.995,1.221,1.455,0.892
2015,Washington Nationals,1,1.025,0.992,1.049,0.5,1.043
2015,Minnesota Twins,0.994,1.058,1.039,0.979,0.816,0.954
2015,Chicago Cubs,0.95,1.276,0.934,0.794,1.094,1.029
2015,Miami Marlins,0.95,0.74,0.99,0.94,1.226,1.078
2015,Tampa Bay Rays,0.94,0.962,0.939,0.832,0.704,0.895
2015,Atlanta Braves,0.937,0.72,0.915,0.971,0.759,1.114
2015,Pittsburgh Pirates,0.933,1.083,0.962,0.874,0.821,1
2015,San Diego Padres,0.931,1.085,0.966,0.956,0.792,0.992
2015,St. Louis Cardinals,0.931,0.857,1.055,1.008,1.031,0.924
2015,Houston Astros,0.927,1.1,0.954,0.963,1.52,0.951
2015,Los Angeles Dodgers,0.918,1,0.948,1.059,0.643,0.791
2015,Toronto Blue Jays,0.906,1.005,0.926,1.076,0.958,0.998
2015,Chicago White Sox,0.904,1.113,0.953,0.873,0.833,1.234
2015,Detroit Tigers,0.902,0.791,0.966,0.977,1.353,0.988
2015,Seattle Mariners,0.878,0.905,0.917,0.829,0.8,0.954
2015,New York Mets,0.87,0.994,0.912,0.934,0.905,0.998
2015,Los Angeles Angels,0.861,0.921,0.939,0.863,0.739,1.025
2015,San Francisco Giants,0.845,0.599,0.917,0.841,1.647,0.987
2015,Oakland Athletics,0.775,0.628,0.946,0.956,0.75,0.938
2014,Colorado Rockies,1.501,1.393,1.315,1.216,1.897,1.049
2014,Arizona Diamondbacks,1.154,1.194,1.045,1.079,1.793,0.94
2014,Minnesota Twins,1.116,1.022,1.08,1.075,1.407,1.079
2014,St. Louis Cardinals,1.1,0.966,1.006,1.191,1.474,1.086
2014,Boston Red Sox,1.072,0.72,1.073,1.523,0.857,1.168
2014,Washington Nationals,1.068,0.701,1.075,1.13,0.375,1.079
2014,Texas Rangers,1.052,0.964,0.981,0.801,2.167,0.966
2014,Chicago White Sox,1.052,1.049,1.006,0.996,1.1,1.051
2014,Toronto Blue Jays,1.042,1.31,1.031,1.107,1.333,0.922
2014,Kansas City Royals,1.014,0.843,1.008,1.038,1.069,0.952
2014,Miami Marlins,1.014,0.788,0.988,1.026,1.923,0.945
2014,Houston Astros,1.012,1.173,1.006,1.048,1.45,0.962
2014,Detroit Tigers,1.003,1.014,0.979,0.796,1.833,1.02
2014,Tampa Bay Rays,1.002,0.807,0.974,0.883,0.68,1.106
2014,Milwaukee Brewers,1.002,1.142,0.969,0.863,0.515,0.977
2014,Pittsburgh Pirates,0.977,0.711,1.042,1.082,0.806,0.986
2014,Cincinnati Reds,0.963,1.279,0.962,0.904,1.111,1.105
2014,Cleveland Indians,0.95,1.083,0.982,1.028,0.528,0.963
2014,New York Yankees,0.945,1.468,1.005,0.877,0.528,0.963
2014,Atlanta Braves,0.94,1.122,0.97,0.826,0.63,1.009
2014,Baltimore Orioles,0.932,0.936,0.981,0.935,0.636,1.002
2014,Chicago Cubs,0.931,0.943,0.975,1.066,1.037,1.004
