Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/3B,Aledmys Diaz (17266323),Aledmys Diaz,17266323,INF/UTIL,5600,SEA@HOU 04/26/2021 08:10PM ET,HOU,6.07
OF,Joey Gallo (17266325),Joey Gallo,17266325,OF/UTIL,5500,LAA@TEX 04/26/2021 08:05PM ET,TEX,7
1B,Matt Thaiss (17266393),Matt Thaiss,17266393,INF/UTIL,5400,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
OF,Khris Davis (17266395),Khris Davis,17266395,OF/UTIL,5300,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
OF,Justin Upton (17266327),Justin Upton,17266327,OF/UTIL,5200,LAA@TEX 04/26/2021 08:05PM ET,LAA,7.56
1B,Albert Pujols (17266329),Albert Pujols,17266329,INF/UTIL,5100,LAA@TEX 04/26/2021 08:05PM ET,LAA,6.94
OF,Chas McCormick (17266331),Chas McCormick,17266331,OF/UTIL,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,4.82
RP,Andre Scrubb (17266562),Andre Scrubb,17266562,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Ryne Stanek (17266563),Ryne Stanek,17266563,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,4.50
RP,Wyatt Mills (17266564),Wyatt Mills,17266564,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Andres Munoz (17266565),Andres Munoz,17266565,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Pedro Baez (17266566),Pedro Baez,17266566,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Joe Smith (17266571),Joe Smith,17266571,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,-0.16
RP,Aaron Fletcher (17266573),Aaron Fletcher,17266573,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Tyler Ivey (17266574),Tyler Ivey,17266574,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Kent Emanuel (17266577),Kent Emanuel,17266577,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,25.9
RP,Jimmy Yacabonis (17266579),Jimmy Yacabonis,17266579,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Jojanse Torres (17266581),Jojanse Torres,17266581,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Ken Giles (17266582),Ken Giles,17266582,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Domingo Tapia (17266584),Domingo Tapia,17266584,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,JT Chargois (17266585),JT Chargois,17266585,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Brandon Brennan (17266586),Brandon Brennan,17266586,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Rafael Montero (17266592),Rafael Montero,17266592,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,3.64
RP,Bryan Abreu (17266594),Bryan Abreu,17266594,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,2.91
RP,Francis Martes (17266597),Francis Martes,17266597,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Taylor Guerrieri (17266598),Taylor Guerrieri,17266598,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
SP,Anthony Misiewicz (17266599),Anthony Misiewicz,17266599,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,3.43
RP,Brooks Raley (17266600),Brooks Raley,17266600,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,1.64
RP,Drew Steckenrider (17266602),Drew Steckenrider,17266602,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,3.37
SP,Logan Gilbert (17266603),Logan Gilbert,17266603,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Blair Henley (17266608),Blair Henley,17266608,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Riley Ferrell (17266610),Riley Ferrell,17266610,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Yohan Ramirez (17266613),Yohan Ramirez,17266613,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Hector Velazquez (17266614),Hector Velazquez,17266614,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Brady Lail (17266615),Brady Lail,17266615,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Keynan Middleton (17266616),Keynan Middleton,17266616,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,2.74
RP,Hunter Brown (17266618),Hunter Brown,17266618,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Nivaldo Rodriguez (17266620),Nivaldo Rodriguez,17266620,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,8.95
RP,Jose Alberto Rivera (17266622),Jose Alberto Rivera,17266622,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Enoli Paredes (17266625),Enoli Paredes,17266625,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0.73
RP,Ralph Garza Jr. (17266629),Ralph Garza Jr.,17266629,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Will Vest (17266632),Will Vest,17266632,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,3.58
RP,Joey Gerber (17266633),Joey Gerber,17266633,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Peter Solomon (17266637),Peter Solomon,17266637,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,3.65
RP,Casey Sadler (17266640),Casey Sadler,17266640,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,3.11
RP,Austin Pruitt (17266641),Austin Pruitt,17266641,P,5000,SEA@HOU 04/26/2021 08:10PM ET,HOU,0
RP,Paul Sewald (17266642),Paul Sewald,17266642,P,5000,SEA@HOU 04/26/2021 08:10PM ET,SEA,0
RP,Steve Cishek (17266558),Steve Cishek,17266558,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,1.42
RP,Thomas Pannone (17266559),Thomas Pannone,17266559,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
SP,Denny Brady (17266560),Denny Brady,17266560,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
RP,Jose Leclerc (17266561),Jose Leclerc,17266561,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Hunter Wood (17266567),Hunter Wood,17266567,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
SP,Hyeon-Jong Yang (17266568),Hyeon-Jong Yang,17266568,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Jonathan Hernandez (17266569),Jonathan Hernandez,17266569,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,James Hoyt (17266570),James Hoyt,17266570,P,5000,LAA@TEX 04/26/2021 08:05PM ET,LAA,0
SP,Alex Speas (17266572),Alex Speas,17266572,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
RP,Drew Anderson (17266575),Drew Anderson,17266575,P,5000,LAA@TEX 04/26/2021 08:05PM ET,TEX,0
