Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Tyler Saladino,0.288,0.341,0.11,0.283
Rob Brantly,0.289,0.373,0.127,0.278
Jake Peter,0.292,0.341,0.104,0.309
Omar Narvaez,0.326,0.303,0.052,0.295
Geovany Soto,0.289,0.402,0.179,0.273
Patrick Leonard,0.282,0.363,0.137,0.303
Roberto Pena,0.263,0.315,0.089,0.264
Ronald Bueno,0.291,0.326,0.107,0.284
Eddy Alvarez,0.295,0.3,0.087,0.285
Casey Gillaspie,0.307,0.408,0.173,0.28
Matt Skole,0.301,0.407,0.197,0.274
Ryan Cordell,0.269,0.368,0.155,0.276
Luis Alexander Basabe,0.273,0.334,0.131,0.29
Adam Engel,0.264,0.318,0.124,0.282
Charlie Tilson,0.287,0.337,0.096,0.296
Tyler Ladendorf,0.265,0.292,0.082,0.264
Daniel Palka,0.279,0.421,0.201,0.282
Rymer Liriano,0.286,0.356,0.138,0.305
Danny Hayes,0.298,0.36,0.153,0.289
Matt Davidson,0.264,0.395,0.191,0.281
Trey Michalczewski,0.271,0.352,0.146,0.301
Willy Garcia,0.271,0.374,0.159,0.298
Jacob May,0.267,0.29,0.07,0.303
Hunter Jones,0.271,0.314,0.105,0.277
Everth Cabrera,0.274,0.261,0.043,0.28
Brett Austin,0.24,0.293,0.113,0.27
Jose Vinicio,0.245,0.31,0.087,0.297
Jason Bourgeois,0.282,0.317,0.072,0.281
Micker Adolfo,0.24,0.351,0.167,0.294
Courtney Hawkins,0.222,0.339,0.162,0.277
Jameson Fisher,0.276,0.308,0.111,0.276
Francisco Lindor,0.351,0.484,0.192,0.306
Jose Ramirez,0.355,0.495,0.196,0.309
Edwin Encarnacion,0.366,0.506,0.243,0.28
Michael Brantley,0.359,0.453,0.155,0.316
Jason Kipnis,0.327,0.426,0.164,0.306
Yonder Alonso,0.353,0.486,0.224,0.304
Yandy Diaz,0.361,0.351,0.078,0.333
Bradley Zimmer,0.312,0.393,0.159,0.34
Eric Stamets,0.275,0.357,0.137,0.282
Francisco Mejia,0.291,0.411,0.159,0.281
Yan Gomes,0.281,0.402,0.175,0.269
Brandon Guyer,0.349,0.394,0.138,0.306
Roberto Perez,0.303,0.373,0.162,0.267
Melvin Upton Jr.,0.289,0.379,0.153,0.305
Tyler Naquin,0.319,0.416,0.155,0.343
Rob Refsnyder,0.319,0.387,0.135,0.299
Yu-Cheng Chang,0.278,0.384,0.17,0.293
Austin Jackson,0.322,0.39,0.127,0.328
Giovanny Urshela,0.293,0.363,0.108,0.291
Eric Haase,0.265,0.393,0.194,0.301
Lonnie Chisenhall,0.309,0.407,0.155,0.293
Erik Gonzalez,0.269,0.37,0.13,0.314
