Player,OP_BABIP_zips,OP_ERA-_zips
Benton Moss,0.3,143
Jose Mujica,0.293,137
Greg Harris,0.296,142
Marcus Stroman,0.296,85
Aaron Sanchez,0.283,93
J.A. Happ,0.288,93
Roberto Osuna,0.28,65
Marco Estrada,0.27,105
Joe Biagini,0.298,111
Dominic Leone,0.296,85
Brett Anderson,0.305,107
Ryan Tepera,0.288,90
Aaron Loup,0.308,83
Mike Bolsinger,0.306,109
Cesar Valdez,0.299,113
Danny Barnes,0.301,99
Ryan Borucki,0.301,123
Matt Dermody,0.3,102
Nick Tepesch,0.295,120
Tom Koehler,0.301,122
Leonel Campos,0.295,101
Murphy Smith,0.303,117
Thomas Pannone,0.301,127
T.J. House,0.308,126
Jeff Beliveau,0.296,110
Mat Latos,0.293,123
Lucas Harrell,0.304,126
John Stilson,0.296,111
Chad Girodo,0.297,113
Jon Harris,0.3,130
J.P. Howell,0.295,113
Francisco Rios,0.3,131
Blake McFarland,0.3,117
Taylor Guerrieri,0.296,132
Tim Mayza,0.305,119
Carlos Ramirez,0.291,121
Jordan Romano,0.292,133
Chris S. Smith,0.301,128
Chris Rowley,0.297,134
Sean Reid-Foley,0.3,136
Taylor Cole,0.308,137
Deck McGuire,0.302,138
Dusty Isaacs,0.304,139
Conner Greene,0.301,142
Justin Shafer,0.3,149
Andrew Case,0.297,157
Luis Santos,0.301,159
Carlos Rodon,0.301,91
Lucas Giolito,0.29,98
Michael Kopech,0.286,103
Alec Hansen,0.293,106
Reynaldo Lopez,0.295,109
Gregory Infante,0.292,84
Juan Minaya,0.298,89
Tyler Danish,0.297,117
Brian Clark,0.299,86
Nate Jones,0.289,83
Zack Burdi,0.3,89
James Shields,0.29,119
Jake Petricka,0.299,90
Jordan Guerrero,0.303,120
Thyago Vieira,0.298,96
Zach Putnam,0.305,93
Al Alburquerque,0.293,94
Chris Volstad,0.295,120
Danny Farquhar,0.293,102
Matt Cooper,0.299,117
Jace Fry,0.3,102
Carson Fulmer,0.297,124
Mike Pelfrey,0.301,123
Rob Scahill,0.301,104
Jordan Stephens,0.299,125
Dustin Antolin,0.302,116
Steve Johnson,0.291,122
Brandon Brennan,0.297,113
Michael Ynoa,0.301,116
Cory Luebke,0.295,121
Aaron Bummer,0.291,116
Ian Clarkin,0.299,131
Derek Holland,0.29,130
Bobby Parnell,0.302,121
Connor Walsh,0.297,121
Chris Beck,0.295,121
Spencer Adams,0.3,131
Mark Lowe,0.297,125
Brad Goldberg,0.296,125
Jean Machi,0.287,127
Colton Turner,0.299,130
Jose Ruiz,0.299,132
Dylan Covey,0.294,139
Robinson Leyer,0.302,130
David Holmberg,0.292,136
Corey Kluber,0.287,62
Carlos Carrasco,0.283,71
Trevor Bauer,0.296,87
Danny Salazar,0.293,80
Andrew Miller,0.298,46
Shane Bieber,0.297,96
Cody Allen,0.28,65
Mike Clevinger,0.294,99
Josh Tomlin,0.289,103
Zach McAllister,0.3,71
Dan Otero,0.286,73
Cody Anderson,0.289,102
Diego Moreno,0.3,86
Nick Goody,0.296,86
Ryan Merritt,0.298,110
Tyler Olson,0.296,88
Leonel Campos,0.292,89
Jeff Johnson,0.298,89
Tim Cooney,0.297,109
Louis Head,0.301,94
Shawn Morimando,0.304,114
Jeff Beliveau,0.298,98
Lisalverto Bonilla,0.304,109
Rob Kaminsky,0.296,112
Evan Marshall,0.307,96
Josh Martin,0.301,97
Alexi Ogando,0.295,98
Cole Sulser,0.302,110
Julian Merryweather,0.307,116
Craig Breslow,0.302,108
Joe Colon,0.299,116
Adam Plutko,0.305,121
Neil Ramirez,0.297,112
Travis Banwart,0.299,122
Matt Whitehouse,0.302,122
Cameron Hill,0.298,119
Chris Narveson,0.293,128
Robbie Aviles,0.301,122
Jarrett Grube,0.299,131
Michael Peoples,0.304,139
D.J. Brown,0.307,147
Matt Esparza,0.3,143
Shao-Ching Chiang,0.3,142
Michael Fulmer,0.287,88
Daniel Norris,0.305,101
Matthew Boyd,0.299,107
Mike Fiers,0.293,106
Artie Lewicki,0.304,104
Jordan Zimmermann,0.301,108
Grayson Long,0.299,105
Blaine Hardy,0.295,81
Shane Greene,0.297,82
Beau Burrows,0.298,110
Spencer Turnbull,0.3,109
Alex Wilson,0.287,88
Anibal Sanchez,0.299,112
Drew VerHagen,0.297,111
Matt Hall,0.299,115
Mark Montgomery,0.294,92
Logan Kensing,0.297,92
Joe Jimenez,0.298,85
Bryan Garcia,0.298,92
Chad Bell,0.305,113
Gregory Soto,0.301,117
Zac Reininger,0.292,98
Franklin Perez,0.299,113
Tyler Alexander,0.301,119
A.J. Ladwig,0.308,121
Bruce Rondon,0.304,100
Daniel Stumpf,0.299,100
Eduardo Jimenez,0.295,99
Edward Mujica,0.295,101
Kevin Comer,0.308,104
Buck Farmer,0.304,124
Gerson Moreno,0.297,106
Warwick Saupold,0.302,120
Jairo Labourt,0.291,110
James Russell,0.296,119
Arcenio Leon,0.292,111
Sean Donatello,0.303,112
Angel Nesbitt,0.304,114
Johnny Barbato,0.305,117
Enrique Burgos,0.305,115
Ryan Carpenter,0.303,128
Mark Ecker,0.296,118
Paul Voelker,0.302,120
Sandy Baez,0.3,134
Anthony Vasquez,0.298,133
Matt Crouse,0.299,133
Phillippe Aumont,0.301,144
Kurt Spomer,0.293,133
Joshua Turley,0.301,138
Victor Alcantara,0.305,141
Will Lamb,0.299,144
Adam Ravenelle,0.302,168
Jeff Thompson,0.302,171
Danny Duffy,0.287,85
Trevor Oaks,0.299,91
Jason Vargas,0.289,102
Jason Hammel,0.295,104
Nate Karns,0.294,100
Ian Kennedy,0.283,107
Jakob Junis,0.299,110
Ryan Buchter,0.278,82
Kelvin Herrera,0.305,88
Wily Peralta,0.305,108
Brian Flynn,0.294,90
Brandon Maurer,0.297,92
Pedro Fernandez,0.295,98
Peter Moylan,0.292,85
Trevor Cahill,0.302,102
Brad Keller,0.302,110
Sam Gaviglio,0.294,111
Eric Stout,0.297,95
Onelki Garcia,0.3,104
Richard Lovelady,0.295,93
Eric Skoglund,0.3,113
Scott Barlow,0.3,112
Jake Kalish,0.297,107
Kyle Zimmer,0.294,100
Seth Maness,0.299,97
Tim Hill,0.298,101
Miguel Almonte,0.301,112
Jonathan Dziedzic,0.301,116
Glenn Sparkman,0.299,115
Kevin Lenik,0.301,102
Yender Caramo,0.297,117
Kevin McCarthy,0.296,107
Sam Selman,0.3,106
Burch Smith,0.301,119
Chris Withrow,0.286,113
Malcom Culver,0.3,112
Jake Newberry,0.297,112
Foster Griffin,0.302,124
Brayan Pena,0.267,253
Josh Staumont,0.299,128
Andres Machado,0.304,126
Mike Broadway,0.299,131
Matt Tenuta,0.301,131
Mark Peterson,0.3,126
Emilio Ogando,0.296,135
Jose Berrios,0.297,88
Ervin Santana,0.282,92
Kyle Gibson,0.296,102
Michael Pineda,0.316,96
Adalberto Mejia,0.304,102
Stephen Gonsalves,0.298,104
Trevor Hildenberger,0.298,78
Zack Littell,0.304,109
Ryan Pressly,0.291,81
Taylor Rogers,0.296,88
John Curtiss,0.302,77
Matt Belisle,0.295,78
Fernando Romero,0.291,111
Dietrich Enns,0.297,105
Tyler Duffey,0.298,91
Aaron Slegers,0.297,113
Dillon Gee,0.301,107
Zach Duke,0.289,78
Gabriel Moya,0.295,90
Trevor May,0.308,86
Fernando Rodney,0.299,92
Bartolo Colon,0.305,114
D.J. Baxendale,0.302,110
Michael Tonkin,0.31,94
Cody Stashak,0.298,115
J.T. Chargois,0.298,94
Nick Anderson,0.299,96
Buddy Boshers,0.301,96
Felix Jorge,0.301,119
Jake Reed,0.304,98
Alan Busenitz,0.294,103
Hector Santiago,0.284,119
Phil Hughes,0.3,117
Glen Perkins,0.303,101
Kam Mickolio,0.296,105
Drew Rucinski,0.313,121
Kohl Stewart,0.299,125
Chris Gimenez,0.278,139
Tyler Kinley,0.306,114
Yohan Pino,0.299,128
Chris Heston,0.304,126
Mason Melotakis,0.3,122
Adam Wilk,0.304,128
Myles Jaye,0.302,129
Ryan Eades,0.302,130
Lewis Thorpe,0.3,136
Matt Tracy,0.304,134
Todd Van Steensel,0.299,133
Dereck Rodriguez,0.304,151
Justin Verlander,0.272,81
Dallas Keuchel,0.275,81
Gerrit Cole,0.298,90
Lance McCullers Jr.,0.311,81
Collin McHugh,0.298,88
Charlie Morton,0.298,90
Chris Devenski,0.278,75
Brad Peacock,0.288,95
Ken Giles,0.306,69
James Hoyt,0.306,72
Rogelio Armenteros,0.299,106
Will Harris,0.285,77
Framber Valdez,0.297,106
Forrest Whitley,0.3,104
Mike Hauschild,0.296,109
Joe Smith,0.295,83
Francis Martes,0.305,102
Hector Rondon,0.288,79
David Paulino,0.297,100
Francisco Liriano,0.288,112
Tyler Clippard,0.277,93
Jandel Gustave,0.298,93
Brady Rodgers,0.302,114
Brendan McCurry,0.296,95
Riley Ferrell,0.294,93
Trent Thornton,0.297,116
Cionel Perez,0.298,116
Buddy Boshers,0.297,101
Jumbo Diaz,0.295,102
Tony Sipp,0.279,103
Dean Deetz,0.296,119
Joshua James,0.299,120
Matt Ramsey,0.299,106
Anthony Gose,0.296,106
Sean Stutzman,0.294,111
Reymin Guduan,0.303,114
Akeem Bostick,0.297,126
Ryan Thompson,0.299,116
Yoanys Quiala,0.296,127
Jacob Dorris,0.294,120
Kent Emanuel,0.3,134
Alex Winkelman,0.299,137
David Martinez,0.293,136
Brock Dykxhoorn,0.296,140
Shohei Ohtani,0.293,82
Garrett Richards,0.28,92
Matt Shoemaker,0.29,96
Alex Meyer,0.291,93
Tyler Skaggs,0.3,94
Blake Parker,0.291,75
Ricky Nolasco,0.297,108
Jesse Chavez,0.295,106
Bud Norris,0.3,103
Andrew Heaney,0.3,100
Jose Alvarez,0.299,83
JC Ramirez,0.291,109
Jim Johnson,0.304,87
Cam Bedrosian,0.296,87
Dayan Diaz,0.3,89
Luke Bard,0.297,91
Nick Tropeano,0.292,109
Noe Ramirez,0.293,93
Deolis Guerra,0.289,92
Fernando Salas,0.294,95
John Lamb,0.301,113
Keynan Middleton,0.297,99
Justin Miller,0.294,97
Huston Street,0.286,91
Jaime Barria,0.297,117
Manny Banuelos,0.289,114
Cody Ege,0.3,98
Austin D. Adams,0.297,98
Brooks Pounders,0.299,109
Felix Pena,0.295,103
Eduardo Paredes,0.297,106
Blake Wood,0.307,106
Daniel Wright,0.299,122
Greg Mahle,0.3,115
Abel de los Santos,0.299,118
Adam Hofacket,0.299,115
Parker Bridwell,0.288,125
Nate Smith,0.293,128
Jhondaniel Medina,0.295,119
Osmer Morales,0.296,128
Tyler Carpenter,0.302,131
Andrew Bailey,0.29,131
Alex Klonowski,0.27,133
Luis Diaz,0.298,134
Troy Scribner,0.291,134
Jesus Castillo,0.3,134
Jake Jewell,0.304,142
Sean Manaea,0.295,99
Kendall Graveman,0.294,104
Jharel Cotton,0.295,108
Blake Treinen,0.299,84
Andrew Triggs,0.299,102
Paul Blackburn,0.293,109
Daniel Mengden,0.298,109
Liam Hendriks,0.297,84
Jesse Hahn,0.296,106
Daniel Gossett,0.305,115
Yusmeiro Petit,0.292,93
A.J. Puk,0.296,114
Chris Bassitt,0.299,103
Josh Smith,0.301,107
Cesar Valdez,0.303,110
Daniel Coulombe,0.29,88
Simon Castro,0.293,93
Emilio Pagan,0.294,98
Ryan Dull,0.286,95
Jake Sanchez,0.301,94
Frankie Montas,0.299,89
Lou Trivino,0.294,100
Carlos Navas,0.301,102
Santiago Casilla,0.298,97
Corey Walter,0.297,113
Felix Doubront,0.302,115
Grant Holmes,0.303,121
Michael Brady,0.303,114
Chris Hatcher,0.3,100
Logan Bawcom,0.301,109
Zach Neal,0.294,122
Heath Fillmyer,0.296,124
John Axford,0.302,101
Raul Alcantara,0.294,123
Sam Moll,0.307,107
Chris Smith,0.289,123
Patrick Schuster,0.297,107
Tucker Healy,0.294,112
Jarret Martin,0.297,112
Aaron Kurcz,0.297,118
Bobby Wahl,0.301,127
Casey Meisner,0.298,131
Joel Seddon,0.298,131
Sam Bragg,0.297,123
Dalton Sawyer,0.297,135
Dustin Hurlbutt,0.293,138
Tyler Sturdevant,0.3,133
Kyle Finnegan,0.293,134
Brandon Mann,0.299,139
Chris Jensen,0.294,145
James Paxton,0.298,76
Mike Leake,0.301,100
Edwin Diaz,0.288,77
Felix Hernandez,0.286,100
Erasmo Ramirez,0.277,96
Hisashi Iwakuma,0.289,103
Juan Nicasio,0.303,94
Andrew Albers,0.305,108
Nick Vincent,0.294,85
David Phelps,0.294,85
Tony Zych,0.297,81
James Pazos,0.299,84
Nick Rumbelow,0.295,84
Aaron West,0.301,98
Max Povse,0.302,110
Marco Gonzales,0.307,112
Shawn Armstrong,0.289,89
Marc Rzepczynski,0.3,85
Jonathan Aro,0.301,95
Cody Martin,0.3,110
Ariel Miranda,0.278,115
Ryan Garton,0.298,97
Dan Altavilla,0.292,97
Andrew Moore,0.29,116
Jeanmar Gomez,0.302,97
Dylan Unsworth,0.297,118
Ryan Weber,0.297,110
Ryne Harper,0.305,98
Christian Bergman,0.3,116
Casey Lawrence,0.308,117
Mike Morin,0.298,104
Rob Whalen,0.295,118
Dean Kiekhefer,0.3,103
Sam Moll,0.305,105
Shae Simmons,0.284,98
Nick Hagadone,0.292,109
Ryan Kelly,0.298,109
Peter Tago,0.301,109
Evan Scribner,0.292,113
Darin Gillies,0.298,115
Tyler Knigge,0.298,120
Ashur Tolliver,0.299,124
Justin de Fratus,0.297,132
Tyler Cloyd,0.298,137
Ernesto Frieri,0.299,138
Chase De Jong,0.294,136
Kyle Hunter,0.3,144
Blake Perry,0.303,168
Cole Hamels,0.285,84
Martin Perez,0.296,95
Alex Claudio,0.292,70
Miguel Gonzalez,0.296,105
Doug Fister,0.298,102
Keone Kela,0.287,60
Nick Martinez,0.29,106
Mike Minor,0.285,80
Andrew Cashner,0.294,107
Matt Bush,0.296,77
Ariel Jurado,0.304,110
Clayton Blackburn,0.306,106
Joe Palumbo,0.301,97
Ronald Herrera,0.305,113
Tony Barnette,0.303,87
Jose Leclerc,0.296,92
Pedro Payano,0.299,113
Jake Diekman,0.297,80
Anthony Bass,0.306,106
Ricardo Rodriguez,0.298,96
Nick Gardewine,0.301,90
Dario Alvarez,0.316,93
Paolo Espino,0.299,115
Chi Chi Gonzalez,0.308,112
Yohander Mendez,0.295,118
Tyson Ross,0.307,112
Jason Grilli,0.299,97
Connor Sadzeck,0.308,119
Jimmy Reyes,0.302,111
Brett Martin,0.307,120
A.J. Griffin,0.28,123
R.J. Alvarez,0.303,107
Tanner Scheppers,0.296,110
Wesley Wright,0.303,113
Adam Loewen,0.298,112
Allen Webster,0.307,132
Cody Palmquist,0.3,131
Sam Wolff,0.303,134
Austin Bibens-Dirkx,0.296,134
Preston Claiborne,0.302,136
Collin Wiles,0.301,132
Ryne Slack,0.302,132
Tayler Scott,0.303,133
Jonathan Hernandez,0.305,143
David Ledbetter,0.305,168
Luiz Gohara,0.302,86
Julio Teheran,0.281,101
Sean Newcomb,0.306,99
Mike Soroka,0.297,98
R.A. Dickey,0.278,107
Kolby Allard,0.307,107
Brandon McCarthy,0.302,99
Mike Foltynewicz,0.306,110
Arodys Vizcaino,0.291,80
Lucas Sims,0.298,109
Scott Kazmir,0.3,109
Luke Jackson,0.303,93
Grant Dayton,0.294,84
A.J. Minter,0.299,77
Wes Parsons,0.297,111
Sam Freeman,0.301,95
Jason Hursh,0.305,97
Mauricio Cabrera,0.295,96
Josh Collmenter,0.289,113
Matt Wisler,0.295,118
Dan Winkler,0.297,89
Chase Whitley,0.296,109
Rex Brothers,0.298,97
Ian Krol,0.308,101
Rhiner Cruz,0.303,101
Devan Watts,0.299,102
Caleb Dirks,0.302,101
Phil Pfeifer,0.304,105
Max Fried,0.304,120
Josh Ravin,0.295,104
Akeel Morris,0.302,105
Jose Al. Ramirez,0.296,107
Anyelo Gomez,0.294,115
David Peterson,0.3,108
Tyler Pike,0.299,124
Corbin Clouse,0.3,108
Aaron Blair,0.306,124
Adam McCreery,0.304,111
Jacob Webb,0.299,111
Josh Graham,0.302,111
Jacob Lindgren,0.297,114
Shane Carle,0.304,123
Dan Reynolds,0.298,114
Jason Motte,0.292,115
Touki Toussaint,0.301,126
Kris Medlen,0.302,127
Eric O'Flaherty,0.3,122
Patrick Weigel,0.299,128
Jesse Biddle,0.302,119
Manny Barreda,0.299,131
Michael Mader,0.303,132
Bradley Roney,0.298,139
Ricardo Sanchez,0.303,141
Matt Withrow,0.3,159
Wei-Yin Chen,0.287,98
Drew Steckenrider,0.301,73
Trevor Richards,0.296,104
Kyle Barraclough,0.289,80
Dan Straily,0.279,111
Brad Ziegler,0.288,79
Zac Gallen,0.298,109
Dillon Peters,0.302,105
Pablo Lopez,0.295,110
Adam Conley,0.296,110
Jose Urena,0.287,110
Edinson Volquez,0.287,104
James Buckelew,0.297,104
Merandy Gonzalez,0.301,112
Andy Beltre,0.298,88
Caleb Smith,0.289,112
Justin Nicolino,0.294,114
Vance Worley,0.297,112
Chris O'Grady,0.296,110
Nick Wittgren,0.3,94
Mike Kickham,0.293,115
Junichi Tazawa,0.296,98
Dustin McGowan,0.285,100
Alex Wimmers,0.288,99
Odrisamer Despaigne,0.289,114
Miguel del Pozo,0.302,103
Stephen Fife,0.302,116
Severino Gonzalez,0.297,109
Chris Mazza,0.294,120
Brian Ellington,0.299,104
Kyle Lobstein,0.292,118
Sandy Alcantara,0.297,119
Drew Rucinski,0.299,120
Esmerling de la Rosa,0.301,109
Jeff Locke,0.293,122
Kelvin Marte,0.295,122
Brandon Barker,0.291,123
Ryan Beckman,0.297,116
Javy Guerra,0.294,117
Elieser Hernandez,0.298,129
Hunter Cervenka,0.289,120
Daniel Schlereth,0.287,125
Jarlin Garcia,0.291,118
Scott Copeland,0.293,128
Keyvius Sampson,0.291,127
Nick Neidert,0.296,128
Brandon Cunniff,0.288,123
James Needy,0.292,130
Matt Tomshaw,0.298,129
Clayton Mortensen,0.293,130
Tayron Guerrero,0.308,129
Greg Nappo,0.297,132
William Cuevas,0.289,133
Tyler Higgins,0.299,135
Brett Graves,0.29,144
Noah Syndergaard,0.301,69
Jacob deGrom,0.288,82
Steven Matz,0.304,94
Marcos Molina,0.297,101
Jeurys Familia,0.288,73
Robert Gsellman,0.3,109
A.J. Ramos,0.292,84
Jerry Blevins,0.299,77
Josh Smoker,0.303,87
Ben Rowen,0.299,86
P.J. Conlon,0.297,112
Matt Harvey,0.29,112
Corey Taylor,0.3,93
Matt Purke,0.294,95
Chris Flexen,0.295,112
Wilfredo Boscan,0.297,117
Zack Wheeler,0.293,114
Corey Oswalt,0.299,116
Chasen Bradford,0.3,95
Paul Sewald,0.295,100
Drew Smith,0.299,97
Jamie Callahan,0.302,100
Seth Lugo,0.297,118
Neil Wagner,0.297,103
Jacob Rhame,0.299,103
Hansel Robles,0.286,106
Tim Peterson,0.298,105
Kyle Regnault,0.301,107
Josh Edgin,0.301,106
Cory Burns,0.296,110
Kevin McGowan,0.292,112
Rafael Montero,0.309,123
Ricky Knapp,0.297,124
Tyler Bashlor,0.304,112
Jonathan Albaladejo,0.302,121
Logan Taylor,0.3,121
Kelly Secrest,0.301,124
Erik Goeddel,0.294,120
Tom Gorzelanny,0.314,134
Tyler Pill,0.296,131
Alberto Baldonado,0.299,131
Tommy Milone,0.29,138
Luis Mateo,0.296,139
Blake Beavan,0.296,144
Mickey Jannis,0.296,140
Beck Wheeler,0.296,145
Donovan Hand,0.293,140
Mitch Atkins,0.3,156
Aaron Nola,0.301,78
Vince Velasquez,0.304,101
Jerad Eickhoff,0.297,105
Nick Pivetta,0.302,105
Tom Eshelman,0.298,109
Edubray Ramos,0.3,83
Pat Neshek,0.278,78
Zach Eflin,0.295,110
Luis Garcia,0.299,86
Ben Lively,0.291,115
Tommy Hunter,0.283,85
Hector Neris,0.297,92
Mark Leiter,0.297,113
Brandon Leibrandt,0.3,117
Austin Davis,0.299,99
Jake Thompson,0.294,121
Clay Buchholz,0.294,121
Hoby Milner,0.303,101
Ranger Suarez,0.3,120
Adam Morgan,0.293,105
Henderson Alvarez,0.296,121
Colton Murray,0.296,107
Cesar Ramos,0.292,118
Kevin Siegrist,0.289,109
Yacksel Rios,0.294,118
Victor Arano,0.301,116
Casey Fien,0.297,119
Zac Curtis,0.303,119
Mark Appel,0.292,132
Pedro Beato,0.292,121
Mario Sanchez,0.297,130
Seranthony Dominguez,0.304,136
Drew Anderson,0.3,133
Jose Taveras,0.301,134
Elniery Garcia,0.295,135
Tom Windle,0.299,135
Ricardo Pinto,0.297,135
Joey DeNato,0.299,144
Alexis Rivero,0.3,135
Franklyn Kilome,0.305,133
Ranfi Casimiro,0.3,153
Max Scherzer,0.284,69
Stephen Strasburg,0.296,73
Gio Gonzalez,0.296,91
Tanner Roark,0.288,97
Joe Ross,0.3,98
Ryan Madson,0.293,68
Sean Doolittle,0.284,75
Erick Fedde,0.307,105
Brandon Kintzler,0.292,85
A.J. Cole,0.298,114
Wander Suero,0.297,90
Jaron Long,0.303,117
Trevor Gott,0.304,88
Enny Romero,0.299,94
Joe Blanton,0.293,90
Koda Glover,0.299,92
Matt Grace,0.301,94
Austin Voth,0.301,117
Oliver Perez,0.322,89
Shawn Kelley,0.29,93
Aaron Barrett,0.31,81
Francisco Rodriguez,0.275,96
Justin Miller,0.298,99
Jefry Rodriguez,0.302,118
Kaleb Fleck,0.306,103
Austin L. Adams,0.301,105
Sammy Solis,0.295,105
Neal Cotts,0.298,105
Tommy Milone,0.297,123
Logan Darnell,0.302,124
Rafael Martin,0.303,110
Cody Satterwhite,0.302,112
Roman Mendez,0.298,117
Joe Nathan,0.303,122
Chris S. Smith,0.298,122
Ryan Brinley,0.304,118
Austen Williams,0.306,128
Tim Collins,0.293,130
Taylor Hill,0.303,128
David Goforth,0.302,120
John Simms,0.302,130
Sean O'Sullivan,0.302,133
Dakota Bacus,0.303,132
Kyle Schepel,0.297,128
Edwin Jackson,0.298,133
Jeremy Guthrie,0.309,135
Greg Ross,0.302,134
Jeff Ames,0.299,133
Braulio Lara,0.309,143
Kyle McGowin,0.304,143
Matt Crownover,0.306,143
Derek Self,0.303,151
Jimmy Cordero,0.305,163
Wirkin Estevez,0.303,154
Jose Quintana,0.292,73
Jon Lester,0.286,81
Kyle Hendricks,0.284,80
Jake Arrieta,0.278,84
Tyler Chatwood,0.277,97
John Lackey,0.282,102
Mike Montgomery,0.278,94
Alec Mills,0.303,93
Carl Edwards Jr.,0.277,72
Justin Wilson,0.29,70
Brandon Morrow,0.298,72
Pedro Strop,0.282,76
Drew Smyly,0.282,108
Steve Cishek,0.284,76
Rob Zastryzny,0.302,101
Williams Perez,0.296,107
Brian Duensing,0.29,81
Dillon Maples,0.313,91
Anthony Bass,0.297,107
Koji Uehara,0.293,84
Daury Torrez,0.3,96
James Pugliese,0.301,105
Trevor Clifton,0.304,113
Dario Alvarez,0.306,92
Cory Mazzoni,0.312,87
Zach Hedges,0.301,116
Dan Camarena,0.293,117
Jen-Ho Tseng,0.301,117
Justin Grimm,0.288,97
Kyle Ryan,0.288,99
Matt Carasiti,0.301,101
Craig Brooks,0.302,103
Eddie Butler,0.294,119
Brad Markey,0.3,114
Adbert Alzolay,0.299,120
Manny Parra,0.296,101
Duane Underwood Jr.,0.299,121
Randy Rosario,0.297,115
