Player,OBP_zips,SLG_zips,ISO_zips,BABIP_zips
Cole Sturgeon,0.282,0.347,0.108,0.303
Nick Longhi,0.278,0.362,0.135,0.301
Marcus Wilson,0.278,0.378,0.165,0.316
Austin Rei,0.262,0.273,0.096,0.272
Gorkys Hernandez,0.286,0.342,0.122,0.298
Edgar Corcino,0.286,0.379,0.139,0.309
Bryce Brentz,0.271,0.39,0.18,0.289
Garrett Benge,0.271,0.285,0.083,0.312
Jonathan Arauz,0.266,0.347,0.136,0.252
Brett Netzer,0.262,0.305,0.094,0.299
Juremi Profar,0.273,0.344,0.112,0.267
Ryan Fitzgerald,0.273,0.307,0.089,0.303
Marco Hernandez,0.277,0.338,0.091,0.315
Pedro Castellanos,0.273,0.35,0.109,0.285
Tate Matheny,0.245,0.289,0.09,0.316
Aaron Judge,0.377,0.536,0.276,0.339
Gleyber Torres,0.348,0.557,0.271,0.306
DJ LeMahieu,0.345,0.44,0.147,0.324
Giancarlo Stanton,0.344,0.571,0.314,0.304
Gary Sanchez,0.323,0.524,0.28,0.268
Mike Tauchman,0.335,0.437,0.174,0.313
Luke Voit,0.361,0.48,0.215,0.324
Gio Urshela,0.319,0.461,0.178,0.313
Aaron Hicks,0.339,0.445,0.204,0.28
Mike Ford,0.34,0.481,0.225,0.273
Brett Gardner,0.327,0.414,0.166,0.284
Kyle Higashioka,0.278,0.435,0.207,0.259
Thairo Estrada,0.289,0.374,0.127,0.292
Miguel Andujar,0.298,0.446,0.181,0.291
Clint Frazier,0.299,0.445,0.206,0.299
Cameron Maybin,0.332,0.385,0.138,0.316
Troy Tulowitzki,0.297,0.394,0.159,0.263
Erik Kratz,0.285,0.371,0.144,0.253
Jacoby Ellsbury,0.314,0.351,0.103,0.289
Tyler Wade,0.289,0.332,0.108,0.295
Greg Bird,0.307,0.408,0.202,0.25
Chris Gittens,0.297,0.408,0.205,0.294
Hoy Jun Park,0.31,0.32,0.094,0.294
Kendrys Morales,0.325,0.371,0.137,0.262
Mandy Alvarez,0.273,0.358,0.126,0.265
Rosell Herrera,0.299,0.343,0.109,0.292
Zack Granite,0.291,0.321,0.072,0.272
Kyle Holder,0.28,0.33,0.099,0.273
Thomas Milone,0.258,0.298,0.097,0.281
Brian Navarreto,0.231,0.29,0.097,0.234
Chris Iannetta,0.286,0.322,0.141,0.257
Trey Amburgey,0.27,0.379,0.151,0.284
Cliff Pennington,0.264,0.283,0.089,0.262
Gosuke Katoh,0.285,0.318,0.113,0.294
Francisco Arcia,0.257,0.291,0.08,0.26
Ben Ruta,0.278,0.327,0.1,0.285
Dermis Garcia,0.238,0.386,0.201,0.281
Zack Zehner,0.271,0.338,0.137,0.293
Terrance Gore,0.266,0.218,0.029,0.277
Matt Lipka,0.251,0.293,0.098,0.266
Estevan Florial,0.252,0.318,0.125,0.296
Billy Burns,0.285,0.292,0.057,0.277
Kellin Deglan,0.226,0.305,0.133,0.269
Isiah Gilliam,0.254,0.347,0.151,0.3
Donny Sands,0.243,0.277,0.083,0.262
Oswaldo Cabrera,0.249,0.317,0.107,0.266
Rashad Crawford,0.252,0.283,0.09,0.277
Austin Meadows,0.334,0.496,0.227,0.307
Kevin Kiermaier,0.302,0.411,0.169,0.289
Willy Adames,0.314,0.4,0.15,0.321
Nate Lowe,0.343,0.445,0.187,0.308
Manuel Margot,0.303,0.398,0.149,0.297
Brandon Lowe,0.316,0.44,0.198,0.318
Hunter Renfroe,0.29,0.477,0.243,0.285
Yoshi Tsutsugo,0.329,0.47,0.219,0.295
Yandy Diaz,0.351,0.382,0.117,0.325
Wander Franco,0.316,0.388,0.127,0.278
Joey Wendle,0.305,0.39,0.133,0.307
Mike Brosseau,0.311,0.402,0.153,0.301
Kevin Padlo,0.302,0.389,0.177,0.295
Taylor Walls,0.298,0.355,0.119,0.294
Ji-Man Choi,0.345,0.432,0.184,0.3
Michael Perez,0.29,0.365,0.139,0.292
Mike Zunino,0.276,0.398,0.195,0.268
Daniel Robertson,0.326,0.337,0.111,0.293
Vidal Brujan,0.301,0.346,0.102,0.291
Jose Martinez,0.33,0.409,0.14,0.326
Josh Lowe,0.279,0.352,0.143,0.292
Randy Arozarena,0.321,0.394,0.151,0.304
Cal Stevenson,0.324,0.325,0.083,0.292
Xavier Edwards,0.306,0.311,0.056,0.3
Kevan Smith,0.307,0.366,0.11,0.294
Brett Sullivan,0.283,0.368,0.122,0.279
Rene Pinto,0.257,0.307,0.1,0.276
Chris Herrmann,0.289,0.328,0.128,0.277
Jake Smolinski,0.283,0.379,0.161,0.257
Ryan LaMarre,0.28,0.33,0.112,0.313
Ronaldo Hernandez,0.254,0.363,0.143,0.254
Dylan Cozens,0.274,0.393,0.217,0.304
Lucius Fox,0.29,0.298,0.085,0.293
Brendan McKay,0.292,0.333,0.132,0.258
Brian O'Grady,0.279,0.382,0.185,0.274
Johnny Davis,0.26,0.274,0.063,0.299
Tristan Gray,0.28,0.367,0.155,0.266
Jason Coats,0.265,0.376,0.151,0.283
Dalton Kelly,0.303,0.318,0.102,0.304
Tyler Ladendorf,0.251,0.253,0.058,0.261
Miles Mastrobuoni,0.289,0.291,0.064,0.305
Jermaine Palacios,0.259,0.293,0.077,0.288
Jim Haley,0.256,0.333,0.113,0.287
Nathan Lukes,0.279,0.324,0.096,0.29
Mac James,0.266,0.251,0.051,0.259
Carl Chester,0.248,0.288,0.082,0.283
Garrett Whitley,0.25,0.295,0.134,0.294
Bo Bichette,0.335,0.472,0.196,0.305
Vladimir Guerrero Jr.,0.349,0.497,0.212,0.303
Cavan Biggio,0.332,0.392,0.17,0.292
Travis Shaw,0.329,0.442,0.212,0.268
Randal Grichuk,0.292,0.485,0.245,0.284
Alejandro Kirk,0.322,0.387,0.147,0.264
Derek Fisher,0.316,0.438,0.21,0.303
Danny Jansen,0.312,0.378,0.146,0.265
Teoscar Hernandez,0.306,0.465,0.229,0.304
Breyvic Valera,0.322,0.379,0.12,0.28
Reese McGuire,0.298,0.375,0.138,0.279
Joe Panik,0.327,0.377,0.117,0.276
Patrick Kivlehan,0.29,0.438,0.211,0.282
Andy Burns,0.299,0.387,0.145,0.292
Rowdy Tellez,0.307,0.446,0.202,0.291
Billy McKinney,0.297,0.419,0.19,0.282
Lourdes Gurriel Jr.,0.299,0.451,0.193,0.295
Jonathan Davis,0.292,0.339,0.132,0.273
Riley Adams,0.287,0.332,0.124,0.305
Jordan Patterson,0.286,0.4,0.181,0.303
Santiago Espinal,0.287,0.33,0.091,0.281
Brandon Drury,0.286,0.385,0.154,0.285
Devon Travis,0.289,0.395,0.141,0.292
Ruben Tejada,0.292,0.329,0.096,0.279
Josh Palacios,0.285,0.326,0.111,0.292
Anthony Alford,0.277,0.323,0.117,0.303
Caleb Joseph,0.263,0.336,0.115,0.288
Ben Revere,0.287,0.346,0.095,0.268
Patrick Cantwell,0.264,0.241,0.052,0.266
Dalton Pompey,0.281,0.297,0.087,0.295
Ryan Noda,0.3,0.332,0.149,0.294
Roemon Fields,0.27,0.278,0.059,0.277
Forrest Wall,0.284,0.34,0.124,0.295
Alberto Mineo,0.254,0.279,0.089,0.28
Christopher Bec,0.269,0.286,0.097,0.258
Samad Taylor,0.261,0.318,0.134,0.266
Chavez Young,0.264,0.312,0.105,0.28
Cullen Large,0.277,0.314,0.101,0.311
Brock Lundquist,0.27,0.322,0.121,0.283
Logan Warmoth,0.249,0.249,0.065,0.288
Nash Knight,0.28,0.284,0.081,0.275
Kevin Vicuna,0.26,0.283,0.068,0.276
Kacy Clemens,0.27,0.302,0.103,0.292
Gabriel Guerrero,0.259,0.37,0.139,0.296
Yasmani Grandal,0.358,0.451,0.217,0.276
Yoan Moncada,0.341,0.483,0.208,0.352
Luis Robert,0.309,0.455,0.19,0.343
Eloy Jimenez,0.329,0.532,0.25,0.313
Tim Anderson,0.301,0.443,0.168,0.33
Nick Madrigal,0.33,0.366,0.088,0.285
Jose Abreu,0.322,0.476,0.207,0.307
Danny Mendick,0.305,0.356,0.118,0.288
James McCann,0.298,0.389,0.148,0.31
Leury Garcia,0.302,0.379,0.111,0.335
Nomar Mazara,0.307,0.439,0.187,0.298
Yermin Mercedes,0.302,0.414,0.168,0.288
Zack Collins,0.315,0.366,0.168,0.301
Yolmer Sanchez,0.304,0.36,0.116,0.304
AJ Reed,0.29,0.415,0.208,0.273
Adam Engel,0.276,0.338,0.125,0.292
Luis Alexander Basabe,0.282,0.336,0.126,0.317
Brandon Guyer,0.31,0.35,0.137,0.26
Nicky Delmonico,0.307,0.403,0.174,0.292
Matt Skole,0.298,0.365,0.157,0.275
Luis Gonzalez,0.279,0.336,0.116,0.277
D.J. Peterson,0.266,0.387,0.169,0.276
Jacob Scavuzzo,0.256,0.415,0.203,0.283
Ryan Cordell,0.259,0.359,0.154,0.273
Andrew Vaughn,0.308,0.355,0.126,0.279
Daniel Palka,0.291,0.413,0.196,0.278
Seby Zavala,0.257,0.348,0.148,0.294
Jon Jay,0.312,0.325,0.068,0.318
Laz Rivera,0.265,0.31,0.086,0.279
Gavin Sheets,0.29,0.337,0.114,0.276
Ramon Torres,0.258,0.321,0.096,0.264
Lenyn Sosa,0.245,0.322,0.106,0.27
Alcides Escobar,0.277,0.323,0.085,0.281
Charlie Tilson,0.281,0.297,0.068,0.289
Blake Rutherford,0.27,0.327,0.103,0.299
Zach Remillard,0.242,0.288,0.095,0.282
Ti'Quan Forbes,0.273,0.298,0.084,0.286
Micker Adolfo,0.269,0.319,0.134,0.308
Trey Michalczewski,0.248,0.299,0.117,0.284
Francisco Lindor,0.351,0.523,0.234,0.299
Jose Ramirez,0.361,0.527,0.246,0.285
Carlos Santana,0.365,0.455,0.202,0.269
Yasiel Puig,0.324,0.463,0.201,0.298
Franmil Reyes,0.319,0.513,0.257,0.314
Cesar Hernandez,0.338,0.386,0.12,0.314
Nolan Jones,0.33,0.415,0.183,0.323
Roberto Perez,0.298,0.388,0.175,0.273
Jordan Luplow,0.334,0.436,0.193,0.296
Oscar Mercado,0.31,0.38,0.129,0.305
Jason Kipnis,0.312,0.41,0.164,0.283
Bradley Zimmer,0.3,0.388,0.168,0.341
Tyler Naquin,0.311,0.429,0.161,0.333
Tyler Freeman,0.309,0.354,0.093,0.296
Bobby Bradley,0.287,0.436,0.215,0.295
Leonys Martin,0.292,0.379,0.15,0.296
Yu Chang,0.278,0.354,0.141,0.291
Mike Freeman,0.306,0.33,0.096,0.313
Christian Arroyo,0.299,0.395,0.147,0.3
Delino DeShields,0.304,0.319,0.094,0.307
Jake Bauers,0.316,0.392,0.165,0.296
Daniel Johnson,0.299,0.398,0.157,0.31
Logan Ice,0.289,0.307,0.091,0.289
Ka'ai Tom,0.303,0.403,0.171,0.3
Greg Allen,0.307,0.351,0.111,0.302
Ryan Flaherty,0.287,0.318,0.109,0.283
Andrew Velazquez,0.275,0.362,0.133,0.31
Steven Kwan,0.306,0.339,0.087,0.285
Hanley Ramirez,0.314,0.419,0.183,0.27
Sandy Leon,0.269,0.322,0.112,0.268
Ernie Clement,0.286,0.316,0.074,0.265
Beau Taylor,0.3,0.326,0.121,0.291
Tyler Friis,0.284,0.297,0.087,0.254
Sicnarf Loopstok,0.28,0.351,0.155,0.285
Dioner Navarro,0.282,0.326,0.107,0.263
Connor Marabell,0.284,0.371,0.124,0.279
Wilson Garcia,0.277,0.415,0.161,0.271
Mitch Longo,0.28,0.335,0.107,0.295
Gavin Collins,0.261,0.34,0.128,0.249
Adam Rosales,0.26,0.313,0.101,0.287
Jodd Carter,0.274,0.342,0.143,0.255
Mike Papi,0.294,0.32,0.123,0.274
Kungkuan Giljegiljaw,0.263,0.334,0.122,0.287
Trenton Brooks,0.282,0.358,0.137,0.257
Tyler Krieger,0.275,0.32,0.106,0.287
Austen Wade,0.269,0.28,0.087,0.275
Trayce Thompson,0.24,0.347,0.166,0.257
Nellie Rodriguez,0.24,0.327,0.166,0.294
Oscar Gonzalez,0.248,0.348,0.116,0.281
Jorma Rodriguez,0.232,0.248,0.053,0.281
Mitch Reeves,0.276,0.295,0.091,0.281
Jeimer Candelario,0.322,0.412,0.175,0.294
C.J. Cron,0.321,0.492,0.229,0.288
Jonathan Schoop,0.304,0.465,0.203,0.299
Isaac Paredes,0.318,0.415,0.162,0.276
Jake Rogers,0.277,0.367,0.169,0.26
Niko Goodrum,0.305,0.412,0.171,0.319
Willi Castro,0.301,0.385,0.134,0.31
Eric Haase,0.26,0.394,0.194,0.282
Austin Romine,0.292,0.399,0.145,0.297
JaCoby Jones,0.285,0.381,0.162,0.3
Victor Reyes,0.298,0.387,0.119,0.321
John Hicks,0.271,0.392,0.157,0.3
Kade Scivicque,0.275,0.363,0.125,0.286
Grayson Greiner,0.27,0.334,0.124,0.282
Dawel Lugo,0.282,0.375,0.119,0.295
Gordon Beckham,0.29,0.356,0.127,0.274
Travis Demeritte,0.296,0.405,0.187,0.304
Daniel Pinero,0.288,0.35,0.133,0.276
Christin Stewart,0.318,0.423,0.188,0.292
Jon Rosoff,0.276,0.286,0.062,0.265
Jordy Mercer,0.303,0.375,0.132,0.283
Miguel Cabrera,0.327,0.373,0.11,0.314
Kody Clemens,0.273,0.352,0.138,0.275
Mikie Mahtook,0.287,0.4,0.177,0.272
Daz Cameron,0.297,0.36,0.143,0.29
Brandon Dixon,0.276,0.408,0.176,0.315
Frank Schwindel,0.282,0.419,0.165,0.274
Dustin Peterson,0.279,0.375,0.14,0.292
Bobby Wilson,0.223,0.27,0.102,0.211
Sergio Alcantara,0.287,0.275,0.049,0.289
Harold Castro,0.283,0.345,0.084,0.32
Jorge Bonifacio,0.286,0.376,0.15,0.289
Troy Stokes Jr.,0.297,0.348,0.139,0.274
Brian Schales,0.277,0.32,0.122,0.293
Chad Sedio,0.262,0.318,0.112,0.274
Danny Woodrow,0.282,0.28,0.051,0.3
Kody Eaves,0.26,0.333,0.133,0.28
Jacob Robson,0.3,0.348,0.118,0.317
Cam Gibson,0.263,0.306,0.11,0.268
Cole Peterson,0.253,0.27,0.05,0.261
Joey Morgan,0.242,0.247,0.075,0.236
Luke Burch,0.242,0.224,0.025,0.313
Josh Lester,0.265,0.353,0.144,0.269
Derek Hill,0.26,0.302,0.098,0.297
Jose Azocar,0.252,0.315,0.085,0.315
Whit Merrifield,0.334,0.433,0.146,0.333
Jorge Soler,0.351,0.509,0.254,0.307
Salvador Perez,0.283,0.458,0.209,0.27
Adalberto Mondesi,0.285,0.423,0.174,0.33
Hunter Dozier,0.321,0.468,0.217,0.312
Nicky Lopez,0.319,0.35,0.088,0.289
Matt Reynolds,0.321,0.376,0.135,0.313
Alex Gordon,0.321,0.365,0.121,0.292
Cam Gallagher,0.303,0.362,0.115,0.282
Brett Phillips,0.295,0.364,0.164,0.295
Nick Dini,0.292,0.383,0.141,0.275
Erick Mejia,0.287,0.323,0.089,0.295
Ryan O'Hearn,0.309,0.423,0.198,0.275
Jecksson Flores,0.282,0.324,0.092,0.275
Kelvin Gutierrez,0.29,0.34,0.103,0.306
Maikel Franco,0.303,0.413,0.165,0.262
Meibrys Viloria,0.284,0.332,0.107,0.294
Ryan McBroom,0.303,0.397,0.154,0.308
Humberto Arteaga,0.271,0.312,0.07,0.284
Gabriel Cancel,0.269,0.362,0.14,0.287
Erich Weiss,0.283,0.369,0.144,0.288
Adam Moore,0.252,0.305,0.107,0.282
Andrew Susac,0.282,0.34,0.141,0.265
Freddy Fermin,0.27,0.317,0.091,0.265
Travis Jones,0.302,0.31,0.093,0.305
Nick Heath,0.27,0.291,0.089,0.312
Blake Perkins,0.283,0.305,0.105,0.269
Khalil Lee,0.298,0.32,0.106,0.31
Chase d'Arnaud,0.275,0.329,0.12,0.278
MJ Melendez,0.228,0.329,0.168,0.268
Brewer Hicklen,0.27,0.345,0.142,0.297
Dairon Blanco,0.253,0.321,0.113,0.303
Emmanuel Rivera,0.277,0.341,0.099,0.288
Bubba Starling,0.257,0.319,0.109,0.276
D.J. Burt,0.273,0.28,0.076,0.286
Sebastian Rivero,0.231,0.277,0.084,0.26
Taylor Featherston,0.241,0.309,0.125,0.295
Kevin Merrell,0.256,0.292,0.072,0.292
Elier Hernandez,0.246,0.291,0.086,0.28
Josh Donaldson,0.373,0.493,0.237,0.293
Max Kepler,0.337,0.488,0.234,0.268
Jorge Polanco,0.342,0.461,0.18,0.319
Luis Arraez,0.37,0.403,0.094,0.328
Miguel Sano,0.336,0.545,0.306,0.322
Nelson Cruz,0.353,0.542,0.27,0.302
Byron Buxton,0.305,0.437,0.19,0.321
Eddie Rosario,0.312,0.491,0.208,0.303
Mitch Garver,0.332,0.47,0.222,0.293
Willians Astudillo,0.312,0.452,0.169,0.266
Marwin Gonzalez,0.326,0.429,0.165,0.314
Alex Avila,0.342,0.372,0.171,0.31
Jake Cave,0.318,0.45,0.192,0.346
Ryan Jeffers,0.297,0.374,0.141,0.285
Tomas Telis,0.315,0.381,0.105,0.302
Ian Miller,0.303,0.343,0.096,0.305
Nick Gordon,0.291,0.357,0.111,0.318
Ehire Adrianza,0.315,0.398,0.141,0.302
Alex Kirilloff,0.311,0.427,0.158,0.318
Drew Maggi,0.306,0.323,0.101,0.291
Ben Rortvedt,0.278,0.331,0.122,0.264
LaMonte Wade Jr,0.337,0.348,0.113,0.277
Luke Raley,0.292,0.389,0.158,0.318
Jimmy Kerrigan,0.258,0.356,0.141,0.297
Wynston Sawyer,0.302,0.354,0.127,0.303
Wilfredo Tovar,0.283,0.33,0.087,0.281
Alejandro De Aza,0.313,0.365,0.132,0.284
Mike Miller,0.293,0.312,0.07,0.284
Gilberto Celestino,0.278,0.342,0.116,0.274
Brent Rooker,0.293,0.408,0.193,0.299
Jose Miranda,0.265,0.352,0.125,0.246
Juan Graterol,0.27,0.286,0.052,0.261
Ivan De Jesus Jr.,0.299,0.315,0.079,0.3
Cody Asche,0.289,0.346,0.138,0.287
Travis Blankenhorn,0.268,0.38,0.153,0.288
Royce Lewis,0.271,0.352,0.127,0.288
Wilin Rosario,0.289,0.411,0.164,0.286
Brandon Barnes,0.269,0.35,0.135,0.296
Zander Wiel,0.275,0.382,0.167,0.291
Trevor Larnach,0.301,0.378,0.137,0.321
Michael Davis,0.213,0.265,0.111,0.291
Andrew Bechtold,0.258,0.254,0.072,0.289
Caleb Hamilton,0.255,0.288,0.106,0.257
Alex Bregman,0.399,0.55,0.263,0.291
George Springer,0.362,0.509,0.236,0.302
Jose Altuve,0.366,0.502,0.197,0.325
Yordan Alvarez,0.37,0.564,0.277,0.333
Carlos Correa,0.353,0.493,0.224,0.315
Kyle Tucker,0.329,0.471,0.206,0.306
Michael Brantley,0.349,0.444,0.152,0.308
Abraham Toro,0.32,0.413,0.17,0.284
Myles Straw,0.333,0.32,0.06,0.329
Aledmys Diaz,0.323,0.438,0.177,0.276
Yuli Gurriel,0.319,0.456,0.175,0.29
Garrett Stubbs,0.298,0.345,0.117,0.27
Josh Reddick,0.319,0.406,0.138,0.291
Martin Maldonado,0.286,0.352,0.14,0.264
Jamie Ritchie,0.313,0.317,0.09,0.297
Nick Tanielu,0.291,0.384,0.138,0.282
Jack Mayfield,0.282,0.422,0.185,0.271
Dustin Garneau,0.282,0.368,0.163,0.255
Alex De Goti,0.283,0.35,0.123,0.282
Lorenzo Quintana,0.267,0.405,0.178,0.266
Drew Ferguson,0.318,0.354,0.127,0.305
Taylor Jones,0.301,0.374,0.151,0.288
Chas McCormick,0.312,0.345,0.109,0.274
J.J. Matijevic,0.264,0.401,0.19,0.294
Chuckie Robinson,0.239,0.301,0.11,0.269
Stephen Wrenn,0.27,0.332,0.123,0.292
Colton Shaver,0.273,0.362,0.171,0.261
Jake Meyers,0.259,0.31,0.115,0.256
Jeremy Pena,0.276,0.315,0.1,0.272
Ronnie Dawson,0.27,0.336,0.138,0.288
Granden Goetzman,0.24,0.324,0.132,0.26
Freudis Nova,0.235,0.329,0.121,0.262
Corey Julks,0.28,0.301,0.093,0.283
Osvaldo Duarte,0.242,0.302,0.108,0.285
Anibal Sierra,0.223,0.247,0.081,0.259
Bryan de la Cruz,0.278,0.324,0.101,0.283
Mike Trout,0.438,0.617,0.322,0.322
Anthony Rendon,0.363,0.499,0.223,0.292
Andrelton Simmons,0.319,0.387,0.112,0.289
Jo Adell,0.323,0.451,0.179,0.345
Shohei Ohtani,0.344,0.518,0.237,0.354
David Fletcher,0.317,0.365,0.096,0.297
Justin Upton,0.32,0.465,0.231,0.294
Luis Rengifo,0.321,0.382,0.135,0.295
Taylor Ward,0.317,0.394,0.16,0.288
Cesar Puello,0.331,0.373,0.133,0.311
Tommy La Stella,0.321,0.401,0.132,0.282
Jason Castro,0.306,0.38,0.169,0.289
Jared Walsh,0.297,0.437,0.208,0.304
Justin Bour,0.324,0.449,0.214,0.277
Brian Goodwin,0.307,0.428,0.185,0.313
Matt Thaiss,0.306,0.382,0.148,0.284
Jose Briceno,0.248,0.369,0.156,0.256
Max Stassi,0.287,0.354,0.146,0.276
Roberto Pena,0.273,0.319,0.103,0.258
Jose Rojas,0.278,0.402,0.172,0.282
Elliot Soto,0.284,0.312,0.091,0.284
Michael Hermosillo,0.287,0.363,0.151,0.29
Anthony Bemboom,0.259,0.293,0.096,0.256
Brandon Marsh,0.283,0.325,0.108,0.305
Nick Franklin,0.292,0.345,0.124,0.27
Albert Pujols,0.293,0.397,0.153,0.251
Arismendy Alcantara,0.277,0.389,0.167,0.294
Michael Stefanic,0.274,0.281,0.062,0.25
Leonardo Rivas,0.264,0.281,0.094,0.264
Peter Bourjos,0.25,0.338,0.128,0.278
Brennon Lund,0.282,0.329,0.104,0.299
Bo Way,0.269,0.293,0.073,0.275
Ty Kelly,0.279,0.295,0.085,0.288
Zane Gurwitz,0.249,0.298,0.108,0.26
Erick Salcedo,0.245,0.279,0.068,0.249
Victor Acosta,0.274,0.314,0.092,0.256
Josh Thole,0.265,0.241,0.056,0.25
Jack Kruger,0.259,0.29,0.078,0.269
Joey Curletta,0.263,0.347,0.158,0.278
Luis Aviles,0.242,0.266,0.075,0.294
Jahmai Jones,0.277,0.321,0.104,0.283
Jordan P. Zimmerman,0.242,0.307,0.107,0.274
Jhoan Urena,0.26,0.321,0.12,0.287
Matt Chapman,0.331,0.5,0.254,0.289
Marcus Semien,0.348,0.486,0.212,0.294
Matt Olson,0.339,0.512,0.259,0.291
Ramon Laureano,0.324,0.469,0.211,0.323
Mark Canha,0.343,0.467,0.224,0.283
Stephen Piscotty,0.327,0.447,0.188,0.298
Khris Davis,0.309,0.474,0.24,0.277
Sean Murphy,0.302,0.406,0.169,0.286
Franklin Barreto,0.287,0.423,0.197,0.302
Austin Allen,0.299,0.424,0.178,0.296
Sheldon Neuse,0.295,0.372,0.126,0.337
Nate Orf,0.317,0.332,0.108,0.268
Chad Pinder,0.299,0.422,0.178,0.3
Vimael Machin,0.319,0.338,0.105,0.278
Tony Kemp,0.324,0.376,0.119,0.289
Jonah Heim,0.272,0.329,0.11,0.261
Robbie Grossman,0.343,0.365,0.118,0.3
Dustin Fowler,0.285,0.4,0.152,0.309
Luis Barrera,0.279,0.352,0.117,0.303
Ronnie Freeman,0.275,0.333,0.109,0.287
Jonah Bride,0.282,0.314,0.1,0.272
Chase Calabuig,0.312,0.315,0.084,0.299
Jason Krizan,0.305,0.37,0.128,0.269
Jorge Mateo,0.259,0.368,0.147,0.301
Nick Allen,0.267,0.29,0.074,0.27
Eric Campbell,0.31,0.347,0.12,0.277
Taylor Motter,0.265,0.345,0.144,0.243
Jordan Devencenzi,0.257,0.251,0.042,0.274
Skye Bolt,0.269,0.343,0.141,0.286
Ryan Goins,0.287,0.333,0.108,0.3
Greg Deichmann,0.265,0.34,0.14,0.269
Ryan Court,0.286,0.332,0.125,0.308
Ryan Gridley,0.262,0.288,0.079,0.258
Seth Brown,0.275,0.383,0.162,0.302
Nate Mondou,0.281,0.29,0.076,0.276
Dan Gamache,0.279,0.279,0.077,0.281
Buddy Reed,0.247,0.31,0.121,0.289
Dillon Thomas,0.268,0.321,0.121,0.31
Tyler Ramirez,0.28,0.291,0.099,0.297
Trace Loehr,0.252,0.29,0.075,0.277
Brallan Perez,0.275,0.265,0.052,0.268
Mikey White,0.254,0.3,0.108,0.279
Lazaro Armenteros,0.255,0.303,0.132,0.295
Mitch Haniger,0.341,0.472,0.219,0.307
