Player,ISO_zips,BABIP_zips,OBP_zips,SLG_zips
Austin Nola,0.081,0.285,0.289,0.311
J.T. Riddle,0.086,0.295,0.284,0.334
A.J. Ellis,0.105,0.256,0.325,0.325
Miguel Rojas,0.083,0.277,0.291,0.331
Peter Mooney,0.068,0.268,0.298,0.299
Chris Hoo,0.061,0.275,0.276,0.275
Robert Andino,0.098,0.283,0.263,0.321
Ichiro Suzuki,0.071,0.293,0.314,0.33
Carlos Paulino,0.077,0.278,0.276,0.306
David Lough,0.103,0.284,0.295,0.349
Isaac Galloway,0.104,0.292,0.252,0.318
Cam Maron,0.061,0.297,0.307,0.296
Cole Figueroa,0.082,0.272,0.306,0.339
Cole Gillespie,0.089,0.287,0.304,0.332
Destin Hood,0.143,0.301,0.275,0.375
Ryan Jackson,0.05,0.287,0.295,0.269
Zach Lutz,0.109,0.287,0.293,0.327
Rodrigo Vigil,0.035,0.291,0.27,0.285
Austin Dean,0.131,0.289,0.288,0.372
Tyler Moore,0.163,0.273,0.278,0.385
Chris Johnson,0.102,0.326,0.29,0.352
Jeff Francoeur,0.131,0.295,0.281,0.376
Yefri Perez,0.042,0.284,0.267,0.264
Garrett Weber,0.098,0.296,0.285,0.331
Don Kelly,0.063,0.263,0.283,0.28
Brandon Barnes,0.1,0.296,0.26,0.317
Chris Curley,0.124,0.285,0.272,0.352
Cal Towey,0.112,0.292,0.29,0.311
Alex Yarbrough,0.09,0.302,0.262,0.322
Freddie Freeman,0.217,0.34,0.382,0.498
Ender Inciarte,0.101,0.32,0.334,0.387
Dansby Swanson,0.15,0.308,0.323,0.403
Ozzie Albies,0.118,0.306,0.304,0.365
Tyler Flowers,0.14,0.33,0.31,0.383
Mallex Smith,0.099,0.314,0.309,0.341
Rio Ruiz,0.138,0.308,0.31,0.376
Nick Markakis,0.103,0.303,0.345,0.375
Jace Peterson,0.107,0.293,0.322,0.347
Adonis Garcia,0.134,0.294,0.296,0.397
Sean Rodriguez,0.189,0.314,0.305,0.43
Tuffy Gosewisch,0.125,0.264,0.275,0.356
Dustin Peterson,0.143,0.298,0.294,0.387
Matt Kemp,0.187,0.309,0.309,0.45
Anthony Recker,0.157,0.283,0.3,0.368
David Freitas,0.126,0.292,0.291,0.367
Connor Lien,0.154,0.328,0.276,0.37
Travis Demeritte,0.155,0.346,0.279,0.363
Matt Lipka,0.087,0.291,0.262,0.304
Chase d'Arnaud,0.1,0.281,0.28,0.331
Keith Curcio,0.092,0.283,0.291,0.327
Kyle Kubitza,0.128,0.316,0.3,0.341
Johan Camargo,0.107,0.291,0.276,0.345
Mel Rojas Jr.,0.137,0.294,0.282,0.359
A.J. Pierzynski,0.099,0.273,0.287,0.353
George Kottaras,0.149,0.281,0.295,0.333
Matt Tuiasosopo,0.18,0.294,0.306,0.392
Emilio Bonifacio,0.06,0.314,0.289,0.302
Ronnier Mustelier,0.117,0.28,0.296,0.367
Sean Kazmar,0.104,0.28,0.275,0.348
Jordan Pacheco,0.087,0.268,0.274,0.306
